CODGEO;P17_POP;P17_LOG;P17_RP;P17_LOGVAC;P17_RP_PROP;MED17;TP6017;P17_CHOM1564;P17_ACT1564;INSEE_COM;REG;DEP
16292;3410.0;2233.27081714302;1711.89920222738;394.656064722784;840.862357850816;17890.0;21.0;286.65762199459704;1241.06667458598;16292;75;16
16293;481.0;249.11608594657397;216.058943089431;12.5931972789116;173.042682926829;19900.0;;14.6646341463415;236.589430894309;16293;75;16
16295;1370.0;654.332190685452;569.516339869602;64.31091984938139;415.95032679762;19540.0;;81.35947712422879;611.214596950224;16295;75;16
16297;334.0;197.84974093264302;156.000000000001;22.4559585492229;129.611837735634;23400.0;;14.3844302253158;175.31355076178798;16297;75;16
16300;1301.0;720.6522067437401;543.65220674374;93.0;433.984938095227;19510.0;;72.6103860611709;518.693537245192;16300;75;16
16301;233.0;126.075439260049;109.886462882096;12.141732283464599;91.572052401747;20710.0;;8.1397379912664;107.85152838428002;16301;75;16
16302;199.0;115.16057504873301;87.5231481481481;9.21247563352827;71.8611111111111;18020.0;;10.1342592592593;84.75925925925921;16302;75;16
16303;407.0;196.71428570869801;166.999999994412;21.517241379310303;148.561405674572;21360.0;;12.257058415666801;193.29723874327;16303;75;16
16304;965.0;529.567834213568;457.89802289281306;41.38679245283021;393.394859379149;25880.0;;40.609155765162;454.485903703718;16304;75;16
16306;332.0;282.731452455591;163.39811912225701;54.3306233062331;134.257053291536;18940.0;;18.7335423197492;137.37931034482799;16306;75;16
16307;334.0;175.83132529310902;138.831325293109;20.0;117.85192247594699;20130.0;;23.934334483104703;151.54326949258;16307;75;16
16308;1057.0;664.430126992139;492.94294750495993;103.293447293447;302.46231906340597;17070.0;;77.9510520404218;424.9572265089;16308;75;16
16310;220.0;146.917431192661;100.917431192661;10.5416666666667;88.8073394495417;18270.0;;14.128440366972498;85.7798165137618;16310;75;16
16312;829.0;412.115522992397;356.006082725062;36.4219173665157;275.324817518249;19800.0;;47.400243309002505;414.50000000000097;16312;75;16
16316;372.0;203.438672438672;165.225974025974;29.394383394383397;134.30649350649298;20780.0;;17.392207792207802;186.483116883117;16316;75;16
16317;442.0;286.286738351239;205.99999999998502;29.103942652329696;143.577400267998;18020.0;;25.5522182781713;186.391095124065;16317;75;16
16318;369.0;197.546391752574;135.999999999996;21.5412371134021;113.448975838134;17660.0;;18.162301670023602;124.47047670423099;16318;75;16
16320;907.0;442.11342592592797;396.812500000002;33.379629629629605;307.732142857144;20810.0;;36.4419642857144;454.51227678571604;16320;75;16
16323;477.0;287.0;224.0;40.0;190.0;19050.0;;28.0;237.0;16323;75;16
16325;140.0;133.337679856115;73.52517985611541;10.3125;60.4316546762592;18170.0;;11.0791366906475;55.3956834532376;16325;75;16
16329;778.0;477.23975409199994;359.999999993639;60.122950819672205;277.780728820162;17070.0;;53.2492417016599;323.31429748736696;16329;75;16
16330;829.0;422.36805555551;368.999999999955;49.34027777777761;305.789602192906;22430.0;;46.1751956089944;387.47756435071096;16330;75;16
16331;92.0;67.3743589743589;42.9333333333332;10.3404339250493;35.77777777777771;;;3.06666666666666;38.8444444444444;16331;75;16
16337;881.0;567.2230215827291;395.99999999999494;94.6762589928061;319.302457205333;18730.0;;43.46055322038529;422.95106718972505;16337;75;16
16338;326.0;147.485915492957;123.999999999999;13.2746478873239;92.24238467261291;19380.0;;25.768574432936695;152.243821716897;16338;75;16
16339;811.0;479.645422562669;368.563223249954;63.2633629576964;317.582495461884;18610.0;;40.986103399049604;346.258029260961;16339;75;16
16340;1068.0;573.8151385615901;480.178988326849;51.153082072683;380.887159533075;20580.0;;39.330739299611004;494.66926070039;16340;75;16
16341;3227.0;1679.7421307612601;1543.03452842208;110.38502052232;788.5507622520621;19670.0;14.0;195.38424223526297;1367.83176798734;16341;75;16
16342;289.0;158.930817591022;120.99999998096001;22.5534591194968;98.4878831470476;21090.0;;11.3166690628856;151.28675289191202;16342;75;16
16347;529.0;326.31739235545604;242.802734375;31.4408124161717;175.64453125;17650.0;;29.962890625;224.205078125;16347;75;16
16348;1292.0;589.632302405498;543.0;37.508591065292;471.95372248931295;22340.0;;56.725851674233105;638.009653180842;16348;75;16
16349;524.0;263.60917312661496;234.58139534883702;18.4722222222222;190.91472868217;22530.0;;17.2635658914728;261.99999999999903;16349;75;16
16350;774.0;554.8347902448729;396.748110831234;45.0246871747705;275.87153652393;18770.0;;33.1435768261965;315.83879093199;16350;75;16
16351;594.0;288.23410787802504;256.235294117646;14.768683274021301;193.764705882352;20340.0;;30.705882352940996;301.76470588235196;16351;75;16
16352;203.0;166.282160493827;98.455;32.3950617283952;84.245;21380.0;;6.09;96.425;16352;75;16
