INSEE_COM;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2018;Part des prof. intermédiaires dans le nb d’emplois au LT 2018;Part des employés dans le nb d’emplois au LT 2018;Part des ouvriers dans le nb d’emplois au LT 2018;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2018;Part des agriculteurs expl. dans le nb d’emplois au LT 2018;Artisans, commerçants, chefs d'entreprise;Cadres et professions intellectuelles supérieures;Professions intermédaires;Employés;Ouvriers;Nb d'emplois au lieu de travail (LT) 2018;Part des emplois sal. dans le nb d’emplois au LT 2018;Part des emplois non sal. dans le nb d’emplois au LT 2018
67550;9.2;16.6;43;23.7;5.7;1.9;45;72;130;339;187;788;85.6;14.4
67551;15;30.2;35.8;11.3;5.3;2.4;66;185;373;443;140;1168;86;14
67552;0;25.1;24.9;37.4;12.6;0;5;0;10;10;15;49;63.4;36.6
67553;0;22.1;11.1;22.3;22.3;22.3;10;0;10;5;10;34;55.9;44.1
67554;15.2;23.8;9.9;43.1;2;5.9;5;38;60;25;108;265;81.1;18.9
67555;0;40;0;20;0;40;0;0;10;0;5;15;53.3;46.7
67556;0;0;0;0;100;0;5;0;0;0;0;9;44.1;55.9
67557;6.2;14.5;32.4;25.7;16;5.2;16;6;14;32;25;103;68;32
67558;15.9;29.9;11.5;38.8;4;0;15;60;114;44;148;407;92.5;7.5
67559;0;37.3;9.3;25.4;18.6;9.3;10;0;20;5;14;28;71.1;28.9
68001;6.9;31.1;22.6;37.3;2.1;0;6;20;90;65;108;309;90.2;9.8
68002;8.3;8.7;41.6;24.9;0;16.4;0;5;5;25;15;55;80.1;19.9
68004;14.1;28;36.1;16.2;5.6;0;215;539;1074;1383;620;3903;91.2;8.8
68005;9.3;20.4;19.7;27.7;7.6;15.3;36;44;96;93;130;430;67.8;32.2
68006;0;25.8;40.3;12.3;15.5;6.1;13;0;21;33;10;113;61.5;38.5
68007;6.2;22.5;18;34.5;14.7;4.2;35;15;53;43;82;246;73.8;26.2
68008;16.5;32.8;0;18.5;32.2;0;10;5;10;0;6;28;40.4;59.6
68009;0;34.2;14.7;36.4;7.4;7.2;5;0;24;10;25;68;68.8;31.2
68010;3.6;27.8;18.3;38.4;11.8;0;25;8;60;39;83;224;83.9;16.1
68011;7.2;39.3;19.2;19.5;11.1;3.8;28;18;98;48;49;228;77.4;22.6
68012;9.8;25;11.5;40.6;12;1.1;57;47;119;55;193;490;87.3;12.7
68013;25.1;26.1;12.2;6.2;30.5;0;25;21;22;10;5;104;74.9;25.1
68014;7;38.5;40.4;10.6;0;3.6;0;10;56;58;15;159;93.6;6.4
68015;5.3;25.2;26;26.8;14.6;2.1;35;13;61;63;64;314;82.8;17.2
68016;9.8;22.7;15.9;45.2;0;6.4;0;15;34;24;67;139;83.5;16.5
68017;10.4;5.2;10.4;65.6;8.4;0;8;10;5;10;64;119;80.5;19.5
68018;7.6;11.5;25.2;28.8;7.6;19.2;10;10;15;33;38;97;75.2;24.8
68019;7.8;25.5;27.6;23.3;15.8;0;10;5;16;18;15;57;85.9;14.1
68020;5.6;17.8;45.3;24.8;6.5;0;20;18;56;143;78;317;88.7;11.3
68021;8.3;27.3;23.6;32.3;6.8;1.7;94;115;379;327;448;1265;89.9;10.1
68022;9.7;22.1;34.5;22.4;11.3;0;15;13;30;47;30;137;72.4;27.6
68023;5.7;8.4;26.5;28.5;15.5;15.4;50;18;27;86;93;329;77.4;22.6
