idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
ag200050-498796589;pr;a;l;0;45;;2;820;;;0;0;1;0;A;53;41.93598;8.79391;0;;;1.0;;0;A;;;;;;;;;;;;;a;n;;a;2025-11;2A004;0901;2A0040901;A;H;2A00401;2A501;94;2A
safti-1-1552532;pr;a;l;0;29;;1;595;;;0;0;0;0;NS;;41.51742;9.0014;0;;;;False;0;NS;1940.0;;;;False;;False;;;;;;m;n;;a;2025-11;2A163;0000;2A1630000;Z;Z;2A16300;2A000;94;2A
hektor-stg-immo_2A-919;pr;a;l;3;45;;2;845;;;0;0;1;0;A;38.8;41.93835;8.75121;0;8.0;;;False;0;B;2019.0;;1.0;;;;True;;;Gaz;;Collectif;a;n;;a;2025-11;2A004;0702;2A0040702;H;H;2A00401;2A501;94;2A
ag200050-498469064;pr;a;l;4;62;;3;978;;;0;1;1;0;B;51;41.94003;8.7541;0;;;1.0;True;0;B;;;;;;;True;;;;;;a;n;;a;2025-11;2A004;0702;2A0040702;H;H;2A00401;2A501;94;2A
ag200149-498631280;pr;a;l;4;50;;2;760;;;0;0;0;1;D;206;41.93849;8.75393;0;9.0;;;False;Est;D;;;;;False;;True;;;;;Individuel;a;n;7.0;a;2025-11;2A004;0702;2A0040702;H;H;2A00401;2A501;94;2A
immo-facile-59588245;pr;a;l;1;75;;3;1250;;;0;0;0;1;NS;;41.92107;8.7356;0;7.0;;;;0;VI;;1.0;2.0;;;;True;;;;;Individuel;a;n;;a;2025-11;2A004;0201;2A0040201;H;H;2A00401;2A501;94;2A
century-21-202_3164_5297;pr;a;l;3;35;;1;700;;;0;0;1;0;NS;;41.91988;8.73735;0;5.0;;0.0;;0;;;1.0;0.0;;False;;False;;;Électrique;Climatisation révérsible;Individuel;a;n;;a;2025-11;2A004;0201;2A0040201;H;H;2A00401;2A501;94;2A
ag200149-499856426;pr;a;l;2;52;;2;750;;;0;0;1;0;D;184;41.92255;8.73776;0;5.0;;;False;0;A;;;;;True;;False;;;Électrique;;Individuel;a;n;;a;2025-11;2A004;0201;2A0040201;H;H;2A00401;2A501;94;2A
ag200149-499856393;pr;a;l;2;45;;2;754;;;0;1;1;0;E;262;41.92254;8.73747;0;6.0;;;False;0;B;;;;;False;;False;;;Électrique;;Individuel;a;n;;a;2025-11;2A004;0201;2A0040201;H;H;2A00401;2A501;94;2A
immo-facile-59470583;pr;a;l;2;105;;4;1690;;;0;0;1;0;NS;;41.92056;8.73722;0;5.0;;;;0;VI;;1.0;;;True;;False;;;;;Individuel;a;n;;a;2025-11;2A004;0201;2A0040201;H;H;2A00401;2A501;94;2A
