Ville,Type_logement,Titre_annonce,ID_publication,ID_annonce,Code_postal,Code_INSEE,Surface,Prix,NB_pieces,nb_chambres,date_observation,heure-min,code_depart,annonce_exclusive,quartier,site_source,type_annonceur,categorie_annonceur,type_transaction,logement_neuf,prix_m_carre,statut_annonce
Angles,Maison/Villa,Maison 3 chambres Angles 139 m²,5436,immo-facile-adresse-9810739,85750,85004,140,252000,5,3,2020-01-22,20:19:29.192350,85,Non,Angles,bienici,Pro,Agence,Vente,Non,1800.0,Active
Moutiers-les-Mauxfaits,Maison/Villa,Maison MOUTIERS LES MAUXFAITS   6 pièce(s)   134 m2,5433,immo-facile-adresse-9198501,85540,85156,134,252000,6,4,2020-01-22,20:19:29.192350,85,Non,Moutiers-les-Mauxfaits,bienici,Pro,Agence,Vente,Non,1880.597014925373,Active
La Faute-sur-Mer,Maison/Villa,Maison 4 chambres 138m² la Faute sur Mer,25373DHI971,ag110472-229018327,85460,85307,138,298900,7,4,2020-01-22,20:19:29.192350,85,Non,La Faute-sur-Mer,bienici,Pro,Agence,Vente,Non,2086.9565217391305,Active
L'Île-d'Yeu,Maison/Villa,PROCHE PORT,222006ABE,ag440414-228764275,85350,85113,135,724500,6,4,2020-01-22,20:19:29.192350,85,Non,Ker Pierre Borny - Ker Châlon - Ker Bossy - Ker Chauvineau,bienici,Pro,Mandataire,Vente,Non,5185.185185185185,Active
Talmont-Saint-Hilaire,Maison/Villa,Maison 133.5 m² TALMONT SAINT HILAIRE BOURG,1043,immo-facile-adresse-10509213,85440,85288,133.5,263400,5,3,2020-01-22,20:19:29.192350,85,Non,Talmont-Saint-Hilaire,bienici,Pro,Agence,Vente,Non,1973.0337078651685,Active
Saint-Hilaire-de-Riez,Maison/Villa,Maison Saint Hilaire De Riez 6 pièce(s) 133 m2,11004,immo-facile-99933644871,85270,85226,133,210500,6,5,2020-01-22,20:19:29.192350,85,Non,Fradinière - Pissot,bienici,Pro,Agence,Vente,Non,1503.7593984962407,Active
L'Aiguillon-sur-Mer,Maison/Villa,L'AIGUILLON SUR MER CENTRE VILLE,3581,immo-facile-99933705489,85460,85001,132,239900,7,4,2020-01-22,20:19:29.192350,85,Non,L'Aiguillon-sur-Mer,bienici,Pro,Agence,Vente,Non,1742.4242424242425,Active
Challans,Maison/Villa,Maison Challans 5 pièce(s),694BC,immo-facile-34754532,85300,85047,140,365000,5,3,2020-01-22,20:19:29.192350,85,Non,Route de Cholet - Route de la Roche-sur-Yon,bienici,Pro,Agence,Vente,Non,2500.0,Active
Saint-Gilles-Croix-de-Vie,Maison/Villa,Maison Saint Gilles Croix De Vie 6 pièce(s) 131 m2,11034,immo-facile-99932874343,85800,85222,131,518500,6,4,2020-01-22,20:19:29.192350,85,Non,Saint-Gilles-Croix-de-Vie,bienici,Pro,Agence,Vente,Non,3816.793893129771,Active
Sainte-Hermine,Maison/Villa,Maison avec possibilité gîtes ou appartement supplémentaire,1275V,hektor-achetezvendeeim-669,85210,85223,132,173250,4,3,2020-01-22,20:19:29.192350,85,Non,Sainte-Hermine,bienici,Pro,Agence,Vente,Non,1250.0,Active
Challans,Maison/Villa,CHALLANS,631BC,immo-facile-34253483,85300,85047,131.59,329000,6,4,2020-01-22,20:19:29.192350,85,Non,Saint Dominique - Route des Sables d'Olonne,bienici,Pro,Agence,Vente,Non,2393.798920890645,Active
La Boissière-des-Landes,Maison/Villa,Maison 5 pièces 132m² LA BOISSIERE DES LANDES,5421,immo-facile-adresse-10910485,85430,85026,132,210300,5,4,2020-01-22,20:19:29.192350,85,Non,La Boissière-des-Landes,bienici,Pro,Agence,Vente,Non,1593.1818181818182,Active
Le Poiré-sur-Vie,Maison/Villa,Maison Le Poire Sur Vie 135 m2,RC15044,immo-facile-adresse-10906694,85170,85178,135,327150,5,3,2020-01-22,20:19:29.192350,85,Non,Le Poiré-sur-Vie,bienici,Pro,Agence,Vente,Non,2423.3333333333335,Active
Olonne-sur-Mer,Maison/Villa,Maison Olonne Sur Mer 5 pièce(s) 133 m2,6860,immo-facile-adresse-10493045,85340,85166,135,361900,5,3,2020-01-22,20:19:29.192350,85,Non,Bréchoire - La Garnaudière - La Bauduère - La Penouillière,bienici,Pro,Agence,Vente,Non,2592.5925925925926,Active
Les Sables-d'Olonne,Maison/Villa,Maison Les Sables D Olonne,6857,immo-facile-adresse-10904786,85100,85194,139,652000,5,4,2020-01-22,20:19:29.192350,85,Non,Les Agaures - Le Perclus - La Bernadière,bienici,Pro,Agence,Vente,Non,4532.374100719425,Active
Saint-Gilles-Croix-de-Vie,Maison/Villa,Maison Saint Gilles Croix De Vie 5 pièce(s),1424-2,immo-facile-34014207,85800,85222,131.38,519000,5,4,2020-01-22,20:19:29.192350,85,Non,Saint-Gilles-Croix-de-Vie,bienici,Pro,Agence,Vente,Non,3950.3729639214494,Active
Saint-Hilaire-le-Vouhis,Maison/Villa,Vaste maison de Bourg avec jardin clos,5681,hektor-cabinetfruchet-10787,85480,85232,140,96300,5,4,2020-01-22,20:19:29.192350,85,Non,Saint-Hilaire-le-Vouhis,bienici,Pro,Agence,Vente,Non,642.8571428571429,Active
Grues,Maison/Villa,TRÈS BELLE PROPRIÉTÉ,02067e,immo-facile-31590356,85580,85104,134.2,346200,5,4,2020-01-22,20:19:29.192350,85,Non,Grues,bienici,Pro,Agence,Vente,Non,2459.016393442623,Active
La Ferrière,Maison/Villa,Maison/villa 6 pièces et +,CD-54532-S-1790,square-habitat-0200C1BB-B8CE-4A71-BA52-C78B18FDA961,85280,85089,138.87,300675,6,3,2020-01-22,20:19:29.192350,85,Non,La Ferrière,bienici,Pro,Agence,Vente,Non,2052.2791099589545,Active
Saint-Vincent-sur-Jard,Maison/Villa,Maison Saint Vincent Sur Jard 5 pièce(s) 139 m2,4120,immo-facile-adresse-10763347,85520,85278,139,375500,5,3,2020-01-22,20:19:29.192350,85,Non,Saint-Vincent-sur-Jard,bienici,Pro,Agence,Vente,Non,2701.438848920863,Active
