IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC
2A0710000;94;2A;2A000;2A071;Casalabriva;ZZZZZZ;2A07100;Z;5;223;110;105;8;144;70;5;18;29;35;23;5;13;21;23;22;11;13;107;20;13;7;29;19;18;65;10;8;7;19;8;12;37;8;5;0;8;9;6;15;18;16;60;66;39;2;5;1.0;19.0;37.0;71;94;105;4
2A0850000;94;2A;2A000;2A085;Cauro;ZZZZZZ;2A08500;Z;5;789;609;178;3;570;218;10;59;142;173;225;8;26;71;126;120;124;133;550;61;29;65;160;167;67;416;41;17;34;132;151;42;132;20;13;31;27;17;24;99;89;79;342;418;160;21;30;1.0;69.0;361.0;365;579;599;19
2A0890000;94;2A;2A000;2A089;Ciamannacce;ZZZZZZ;2A08900;Z;5;145;71;65;9;115;30;1;10;12;18;30;3;4;10;25;15;6;8;71;26;15;16;9;4;1;60;22;11;13;9;4;1;11;4;4;3;0;0;0;5;5;11;50;62;7;0;2;1.0;3.0;25.0;33;66;71;3
2A0900000;94;2A;2A000;2A090;Coggia;ZZZZZZ;2A09000;Z;5;870;351;518;1;674;190;5;30;76;114;125;5;19;37;65;95;59;70;348;47;15;59;127;73;26;288;47;14;43;98;59;26;57;0;1;16;28;12;0;22;29;51;249;263;67;10;21;1.0;63.0;141.0;221;324;347;10
2A0910000;94;2A;2A000;2A091;Cognocoli-Monticchi;ZZZZZZ;2A09100;Z;5;188;88;92;8;180;6;0;11;37;23;18;1;7;22;19;17;9;14;86;35;6;6;20;9;11;80;34;5;5;19;8;10;6;1;1;1;1;1;1;13;12;9;54;66;12;0;10;0.0;3.0;30.0;52;81;88;4
2A0920000;94;2A;2A000;2A092;Conca;ZZZZZZ;2A09200;Z;5;1531;531;979;21;1434;92;6;50;180;162;133;8;23;70;142;120;85;83;507;24;35;99;168;99;82;451;17;33;88;148;91;74;54;7;2;11;20;6;8;64;103;92;272;356;139;29;36;2.0;27.0;284.0;426;488;526;23
2A0940000;94;2A;2A000;2A094;Corrano;ZZZZZZ;2A09400;Z;5;96;36;51;9;91;5;0;5;11;13;7;0;1;8;13;5;8;1;35;14;9;1;7;3;1;32;13;7;1;7;3;1;3;1;2;0;0;0;0;1;4;1;30;29;4;0;3;0.0;4.0;12.0;18;29;36;2
2A0980000;94;2A;2A000;2A098;Coti-Chiavari;ZZZZZZ;2A09800;Z;5;1173;350;817;7;1027;121;6;36;74;89;145;5;12;35;60;65;71;102;333;23;19;30;117;85;59;304;20;12;28;111;79;54;27;3;6;2;6;4;5;33;41;53;223;291;35;0;24;5.0;34.0;173.0;273;334;345;14
2A0990000;94;2A;2A000;2A099;Cozzano;ZZZZZZ;2A09900;Z;5;315;130;160;24;204;111;2;16;36;28;48;6;14;26;31;24;13;15;128;30;39;17;13;14;14;98;27;28;13;10;12;7;30;3;11;4;3;2;7;9;21;15;85;84;30;11;16;9.0;16.0;30.0;38;104;128;5
2A1000000;94;2A;2A000;2A100;Cristinacce;ZZZZZZ;2A10000;Z;5;105;34;68;3;64;40;2;5;10;6;11;0;7;7;10;4;2;5;32;12;7;3;3;7;1;20;9;4;3;2;2;0;11;3;3;0;1;4;1;6;5;5;19;26;6;0;2;0.0;4.0;14.0;2;31;32;2
2A1030000;94;2A;2A000;2A103;Cuttoli-Corticchiato;ZZZZZZ;2A10300;Z;5;1031;799;225;7;964;63;7;46;152;258;336;6;29;61;100;203;186;214;757;40;37;67;266;234;111;701;39;32;64;253;213;100;52;1;6;3;10;22;11;88;81;88;543;619;129;18;51;7.0;117.0;359.0;562;756;795;34
2A1040000;94;2A;2A000;2A104;Eccica-Suarella;ZZZZZZ;2A10400;Z;5;591;468;108;15;514;72;3;33;65;123;244;3;15;45;48;77;106;174;463;38;16;32;152;99;125;396;28;16;26;132;89;106;62;9;0;7;17;11;19;55;94;86;233;362;78;0;28;3.0;66.0;224.0;251;451;465;15
