IRIS;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP75P;P17_POP0019;P17_POP2064;P17_POP65P;C17_POP15P;C17_POP15P_CS1;C17_POP15P_CS2;C17_POP15P_CS3;C17_POP15P_CS4;C17_POP15P_CS5;C17_POP15P_CS6;C17_POP15P_CS7;C17_POP15P_CS8;P17_POP_FR;P17_POP_ETR;P17_POP_IMM;P17_PMEN;P17_PHORMEN
731840000;73;73000;73184;ZZZZZZ;7318400;Z;490;99;66;89;126;84;26;121;288;81;415;5;29;39;83;39;83;93;44;486;4;12;474;16
731860000;73;73000;73186;ZZZZZZ;7318600;Z;479;65;68;83;125;94;44;82;293;105;413;5;50;5;101;55;50;116;30;477;2;4;479;0
731870000;73;73000;73187;ZZZZZZ;7318700;Z;2586;452;370;512;583;445;224;596;1503;487;2142;20;123;64;290;400;359;601;286;2434;152;191;2583;3
731880000;73;73401;73188;ZZZZZZ;7318800;Z;1031;212;138;211;267;149;54;264;629;138;795;0;50;40;130;160;140;205;70;1000;31;49;1031;0
731890000;73;73107;73189;ZZZZZZ;7318900;Z;226;43;22;44;66;42;10;52;140;35;193;5;0;5;45;50;20;50;20;220;6;9;226;0
731900000;73;73000;73190;ZZZZZZ;7319000;Z;249;31;22;45;58;64;29;37;143;68;219;5;0;20;30;30;20;95;20;239;10;11;249;0
731910000;73;73000;73191;ZZZZZZ;7319100;Z;2071;397;270;399;446;343;217;518;1129;424;1662;15;89;160;360;187;114;590;148;2050;21;55;2009;62
731920000;73;73000;73192;ZZZZZZ;7319200;Z;214;39;24;51;44;40;16;46;124;44;185;5;5;20;60;20;10;55;10;209;5;5;214;0
731930000;73;73000;73193;ZZZZZZ;7319300;Z;105;18;12;24;30;17;4;25;67;13;95;5;0;10;20;10;10;20;20;103;2;4;105;0
731940000;73;73000;73194;ZZZZZZ;7319400;Z;349;48;49;63;86;63;40;67;203;79;289;0;10;30;59;30;30;96;35;347;2;7;349;0
731960000;73;73401;73196;ZZZZZZ;7319600;Z;780;139;82;134;183;172;70;177;418;185;645;0;25;54;128;79;74;212;74;772;8;20;780;0
731970000;73;73000;73197;ZZZZZZ;7319700;Z;642;98;87;134;156;115;53;128;386;128;549;20;40;20;130;115;35;125;65;572;70;55;642;0
732000000;73;73000;73200;ZZZZZZ;7320000;Z;545;117;69;125;123;71;40;142;328;75;440;30;15;35;90;70;70;95;35;534;11;24;535;10
732010000;73;73000;73201;ZZZZZZ;7320100;Z;428;85;58;101;85;67;33;101;251;77;356;5;10;10;68;86;72;85;20;415;13;21;428;0
732020000;73;73401;73202;ZZZZZZ;7320200;Z;439;78;53;82;123;72;31;94;267;79;363;0;24;39;77;48;34;107;34;413;26;27;414;25
732040000;73;00360;73204;ZZZZZZ;7320400;Z;2074;415;301;358;364;319;317;532;1015;527;1650;5;45;95;200;280;305;535;185;1966;108;175;1971;103
732050000;73;73000;73205;ZZZZZZ;7320500;Z;122;19;17;15;33;26;13;22;70;29;102;0;0;0;10;15;15;44;20;122;0;1;122;0
732060000;73;73000;73206;ZZZZZZ;7320600;Z;724;120;107;124;182;120;70;158;416;150;572;25;96;15;76;86;51;177;46;713;11;15;724;0
732070000;73;00358;73207;ZZZZZZ;7320700;Z;418;59;54;59;118;88;40;79;250;89;353;0;19;19;77;48;39;102;48;411;7;12;418;0
732080000;73;73601;73208;ZZZZZZ;7320800;Z;951;146;104;137;260;229;75;203;531;218;759;0;75;100;140;65;35;234;110;927;24;37;921;30
732100000;73;73000;73210;ZZZZZZ;7321000;Z;385;75;45;76;86;80;22;91;239;55;320;0;5;36;76;51;41;71;41;382;3;8;385;0
