INSEE_COM;DEP;IRIS;TYP_IRIS;LAB_IRIS;C19_MEN;C19_MENPSEUL;C19_MENSFAM;C19_MENFAM;C19_FAM;C19_COUPAENF;C19_FAMMONO;C19_COUPSENF;C19_NE24F0;C19_NE24F1;C19_NE24F2;C19_NE24F3;C19_NE24F4P
39266;39;392660000;Z;5;155.0;50.0;5.0;100.0;100.0;40.0;0.0;60.0;65.0;15.0;15.0;5.0;0.0
39269;39;392690000;Z;5;109.980734616891;25.4278228121675;0.0;84.5529118047235;84.5529118047235;29.4041147563176;9.97367031268064;45.1751267357253;45.1751267357253;14.9278820991696;19.6236513070947;4.82625166273403;0.0
39271;39;392710000;Z;5;162.391038012915;36.7892949024347;0.0;125.60174311048;125.60174311048;54.104882919631;4.87314777303258;66.6237124178168;71.6211517297972;19.9897572479214;24.3657388651629;9.62509526759892;0.0
39273;39;392730000;Z;5;126.773803667001;58.4304628200237;0.0;68.3433408469772;68.3433408469772;29.3042267909633;4.83880036433962;34.2003136916743;39.0391140560139;14.6521133954816;14.6521133954816;0.0;0.0
39274;39;392740000;Z;5;145.0;55.0;0.0;90.0;90.0;30.0;10.0;50.0;50.0;20.0;15.0;5.0;0.0
39275;39;392750000;Z;5;274.855870020963;74.960691823898;4.99737945492658;194.897798742138;194.897798742138;74.9606918239;29.9842767295597;89.9528301886785;99.9475890985317;34.9816561844864;49.9737945492667;9.99475890985346;0.0
39279;39;392790000;Z;5;245.0;65.0;0.0;180.0;180.0;85.0;0.0;95.0;105.0;10.0;40.0;25.0;0.0
39281;39;392810000;Z;5;29.3103448275862;4.88505747126437;0.0;24.4252873563218;29.3103448275862;4.88505747126437;0.0;24.4252873563218;24.4252873563218;0.0;0.0;4.88505747126437;0.0
39283;39;392830000;Z;5;255.46800134897;46.7230869304382;5.07167207946502;203.673242339067;203.673242339067;77.4611319558874;19.7069967144138;106.505113668766;116.417121177187;24.7732688851745;33.9966663507765;23.8666350760857;4.6195508498426
39285;39;392850000;Z;5;136.786818245024;30.6411100779067;0.0;106.145708167117;106.145708167117;45.2505615465203;10.154126853145;50.7410197674521;60.8655321223242;20.2194102114713;20.0720286852844;4.98873714803743;0.0
39286;39;392860000;Z;5;1007.44021828352;293.022929810782;5.02684536020696;709.390443112529;724.160105793515;302.674360573715;75.1413354215036;346.344409798296;396.289472889205;129.85494934715;119.270834436647;64.0912348409221;14.6536142795902
39289;39;392890000;Z;5;149.383551745119;45.3554862750449;14.92294324238;89.1051222276946;89.1051222276946;39.2002093745377;9.98098257063137;39.9239302825255;39.9239302825255;24.8068645858773;14.6817059993515;9.69262135994039;0.0
39293;39;392930000;Z;5;75.0;20.0;5.0;50.0;50.0;30.0;15.0;5.0;15.0;10.0;20.0;5.0;0.0
39295;39;392950000;Z;5;80.4819277108434;30.1807228915663;5.03012048192771;45.2710843373494;45.2710843373494;15.0903614457831;5.03012048192771;25.1506024096386;30.1807228915663;0.0;10.0602409638554;5.03012048192771;0.0
39296;39;392960000;Z;5;95.0;30.0;0.0;65.0;65.0;25.0;5.0;35.0;35.0;10.0;20.0;0.0;0.0
39297;39;392970000;Z;5;514.392160242201;177.677384559434;0.0;336.714775682767;336.714775682767;156.432879993071;50.0783043582488;130.203591331447;174.99436241221;74.4181994332207;68.16537569625;14.4029065397798;4.73393160130678
39298;39;392980000;Z;5;20.6896551724138;5.17241379310345;5.17241379310345;10.3448275862069;10.3448275862069;5.17241379310345;0.0;5.17241379310345;5.17241379310345;0.0;5.17241379310345;0.0;0.0
39299;39;392990000;Z;5;214.511374174458;58.0004154447823;10.1121672092896;146.398791520386;146.398791520386;65.709230875109;20.016557389539;60.6730032557376;75.841254069672;29.0898394536277;28.093646733209;13.374051263877;0.0
39300;39;393000101;H;1;1182.50417898078;530.000649971887;28.5503886818816;623.953140327009;629.261266713922;222.285380482749;112.184789862759;294.791096368413;341.706277458576;134.496823667858;122.782227464661;27.6261945971603;2.64974352566563
39300;39;393000102;H;1;1628.28011635921;1058.16560493581;14.3156910275471;555.798820395852;558.687815576201;136.217776411458;140.501149214698;281.968889950045;303.400260117456;151.067775011565;90.6378875604837;10.8221825805485;2.75971030614791
39300;39;393000103;H;1;1581.45988351135;772.151807080004;39.8493577947457;769.458718636598;782.25340270945;186.238273847253;304.552623059266;291.462505802931;340.482292674886;198.324419544894;169.567734318961;47.4965153759441;26.3824407947641
39300;39;393000104;A;3;6.71424212018999;3.28028487612818;0.0;3.43395724406181;3.43395724406181;3.43395724406181;0.0;0.0;0.0;0.0;3.43395724406181;0.0;0.0
39300;39;393000105;H;1;1349.40539839182;601.864445317777;47.6260508794698;699.914902194573;722.505478533412;228.442300095218;251.575049272305;242.488129165889;295.373817601433;176.389532224076;127.909141492689;72.2709672061412;50.5620200090746
39300;39;393000106;H;1;1078.21710542264;651.639977736178;5.78065993089597;420.796467755571;420.796467755571;104.214409045302;68.7888205613486;247.79323814892;259.930470052672;79.7074141705305;64.2527106073454;12.8968991438726;4.00897378114996
39300;39;393000107;H;1;1199.19885218107;775.528818218932;20.0119272470671;403.658106715072;403.658106715072;117.326215383265;118.718966756021;167.612924575785;196.760103084189;120.389946251986;54.5131394628239;26.6396999647738;5.35521795129962
39300;39;393000108;H;1;1195.54800504294;616.919808131805;13.6679694990424;564.960227412096;567.403214676004;140.514681307066;94.6887641100722;332.199769258867;355.756295354039;94.0122086792201;81.5123459611038;27.4797222200979;8.64264246154363
39304;39;393040000;Z;5;107.105263157895;29.2105263157895;0.0;77.8947368421053;77.8947368421053;24.3421052631579;9.73684210526316;43.8157894736842;53.5526315789474;14.6052631578947;0.0;4.86842105263158;4.86842105263158
39305;39;393050000;Z;5;227.784971638082;49.7867332430896;10.0715737083636;167.926664686628;167.926664686628;66.8623272047934;30.5633215232897;70.5010159585453;75.5368028127271;40.6329071265631;20.607947947659;25.8781383769426;5.27086842273659
39306;39;393060000;Z;5;451.964040971563;149.458774609229;5.13776862809951;297.367497734235;297.367497734235;108.720184043884;29.376486219266;159.270827471085;168.80803927698;62.4387095982775;49.3709285675481;16.7498202914293;0.0
39308;39;393080000;Z;5;95.4247472075645;20.0894204647504;0.0;75.3353267428141;75.3353267428141;35.1564858133132;15.0670653485628;25.111775580938;25.111775580938;20.0894204647504;25.111775580938;5.0223551161876;0.0
39320;39;393200000;Z;5;149.865518116369;39.8675373494115;0.0;109.997980766957;109.997980766957;30.0628559749565;30.0054931443989;49.9296316476019;59.9250971633171;14.9979678666702;25.031626576892;5.01205976201351;5.03122939806456
39325;39;393250000;Z;5;261.573241045324;83.2673706934046;0.0;178.305870351919;178.305870351919;67.3159175980372;14.8894173850166;96.1005353688655;105.932029839731;24.7209118558824;38.4969027336842;4.6432730000118;4.51275292260962
39328;39;393280000;Z;5;181.678332107777;47.3678104182982;5.11198758394349;129.198534105536;133.490771458322;62.0697096184292;10.0772108325714;61.3438510073219;61.3438510073219;34.2303411798697;28.5481505758192;9.36842869531164;0.0
39331;39;393310000;Z;5;362.767543902233;124.96174825734;5.27981983512301;232.525975809771;237.240936822264;100.779091691957;31.2371330846118;105.224712045695;115.48982776519;41.8426849453471;65.3576998787897;14.5507242329369;0.0
39333;39;393330000;Z;5;938.376112677911;372.371473284885;4.9649529771318;561.039686415894;575.934545347289;287.967272673645;19.8598119085272;268.107460765117;307.827084582172;124.123824428295;84.4042006112407;49.649529771318;9.92990595426361
39335;39;393350000;Z;5;269.050966608084;109.613356766257;4.98242530755712;154.455184534271;154.455184534271;74.7363796133568;14.9472759226714;64.7715289982425;84.701230228471;24.9121265377856;29.8945518453427;9.96485061511424;4.98242530755712
39339;39;393390000;Z;5;496.143496187545;160.816554213536;10.0031335372424;325.323808436766;340.32850874263;134.65470374034;65.1422814898397;140.53152351245;170.578069750972;75.0435723590516;69.8802267238875;24.8266399087183;0.0
39348;39;393480000;Z;5;199.546304533531;61.0287791035796;0.0;138.517525429951;138.517525429951;33.9088319606529;19.7738343347969;84.8348591345012;84.8348591345012;24.6704656707542;29.0122006246957;0.0;0.0
39350;39;393500000;Z;5;141.830065359477;55.718954248366;0.0;86.1111111111111;86.1111111111111;30.3921568627451;5.06535947712418;50.6535947712418;50.6535947712418;15.1960784313725;15.1960784313725;5.06535947712418;0.0
39353;39;393530000;Z;5;80.0;30.0;0.0;50.0;50.0;20.0;0.0;30.0;40.0;0.0;10.0;0.0;0.0
39354;39;393540000;Z;5;150.895202376439;35.2486626125915;0.0;115.646539763848;115.646539763848;50.248694882921;20.1165165749419;45.2813283059847;60.3623252621401;35.197506314047;10.0454809458939;10.0412272417665;0.0
39361;39;393610000;Z;5;85.4381443298969;30.1546391752577;0.0;55.2835051546392;55.2835051546392;30.1546391752577;0.0;25.1288659793814;25.1288659793814;10.0515463917526;10.0515463917526;5.02577319587629;5.02577319587629
39362;39;393620000;Z;5;1453.69809257973;584.676553043827;25.2396919895199;843.78184754638;854.135894973824;262.55084966238;157.20469212097;434.380353190474;485.168080549851;172.809988335958;138.763682090629;41.5729755222032;15.821168475183
39364;39;393640000;Z;5;225.0;75.0;10.0;140.0;140.0;70.0;0.0;70.0;70.0;25.0;35.0;10.0;0.0
39365;39;393650000;Z;5;562.690638853163;214.894616773713;5.13051616650815;342.665505912941;342.665505912941;138.504841503658;50.3536524147877;153.807011994495;174.005951071168;80.7865826551425;58.8974640389134;28.9755081477176;0.0
39367;39;393670000;Z;5;1019.33538095308;316.332336921584;15.0037386212591;687.999305410234;687.999305410234;293.021798016638;54.8927653117238;340.084742081872;384.91454349631;119.60677107224;143.969760278012;39.5082305636719;0.0
39368;39;393680101;H;4;807.703264139961;393.853694095002;29.7065946081197;384.142975436839;388.982687408773;195.990913915882;39.4724480131762;153.519325479715;163.431299713567;103.46018660357;88.1266152866933;24.2563513580051;9.70823444693762
39368;39;393680102;H;4;828.494546805122;463.650551276395;4.95598711692604;359.888008411801;369.625224868934;141.942751314411;103.929088988264;123.753384566259;153.459979174379;108.477076892974;78.5058444546291;24.3426123750179;4.83971197193404
39368;39;393680103;H;4;637.702175182928;219.36155114152;19.7069832042487;398.63364083716;403.502163312163;205.525764727373;89.0321466543402;108.94425193045;143.577679117205;123.255672699467;88.1844077999576;24.3715943852127;24.1128093103215
39368;39;393680201;H;4;202.729874201404;44.8694081880382;0.0;157.860466013366;157.860466013366;63.7553669786446;14.809305163905;79.2957938708166;89.1784400112321;19.706636093958;39.238344958169;9.73704495000717;0.0
39370;39;393700000;Z;5;492.908131180235;208.555656896439;19.4227853165952;264.929688967201;264.929688967201;83.564102346062;63.0377709678367;118.327815653302;137.594351130937;67.6649185325589;32.8634432651446;26.8069760385596;0.0
39378;39;393780000;Z;5;339.553424678211;94.8752216012648;0.0;244.678203076946;244.678203076946;94.8752216012648;14.9802981475681;134.822683328113;149.802981475681;39.9474617268483;34.9540290109923;14.9802981475681;4.99343271585604
39379;39;393790000;Z;5;226.765934551519;65.0484001707476;5.03216462990916;156.685369750862;156.685369750862;71.1385710424062;5.03216462990916;80.5146340785466;85.5754019121674;25.2752359643924;40.7162689608165;5.11846291348564;0.0
39385;39;393850000;Z;5;235.0;95.0;0.0;140.0;140.0;45.0;20.0;75.0;85.0;15.0;25.0;15.0;0.0
39388;39;393880000;Z;5;98.4924623115578;29.5477386934673;0.0;68.9447236180904;68.9447236180904;19.6984924623116;0.0;49.2462311557789;49.2462311557789;9.84924623115578;4.92462311557789;4.92462311557789;0.0
39389;39;393890000;Z;5;265.0;90.0;0.0;175.0;180.0;75.0;5.0;100.0;105.0;20.0;40.0;10.0;5.0
39391;39;393910000;Z;5;166.610867961643;62.479075485616;0.0;104.131792476027;104.131792476027;41.6527169904107;0.0;62.479075485616;67.6856651094173;10.4131792476027;15.619768871404;10.4131792476027;0.0
39396;39;393960000;Z;5;484.626327951788;182.725905283876;5.12730653842582;296.773116129486;296.773116129486;119.682716869301;46.2574328449253;130.83296641526;135.960272953686;61.1466009866774;67.6257156203387;21.2931620184069;10.747364550377
39397;39;393970000;Z;5;736.373068586453;278.328572747823;25.2229788014338;432.821517037195;437.787242530049;135.380501816618;75.4788017679596;226.927938945471;272.265806237736;40.2615242568206;95.2928394383058;20.0042720459766;9.96280055120935
39398;39;393980000;Z;5;146.296296296296;43.8888888888889;0.0;102.407407407407;102.407407407407;68.2716049382716;0.0;34.1358024691358;34.1358024691358;24.3827160493827;24.3827160493827;19.5061728395062;0.0
39402;39;394020000;Z;5;156.841895866749;62.9870526559905;10.2228109264055;83.6320322843527;83.6320322843527;42.7407885787307;5.11140546320275;35.7798382424193;35.7798382424193;27.9249133019852;16.2916017884154;3.63567895153295;0.0
39403;39;394030000;Z;5;100.0;35.0;0.0;65.0;65.0;30.0;5.0;30.0;40.0;10.0;10.0;5.0;0.0
39404;39;394040000;Z;5;211.457508672433;54.3968734385495;5.00802233389891;152.052612899985;157.593078796369;67.2569152280816;10.2078062259054;80.1283573423825;85.668823238767;30.4300391429801;25.6162053321315;10.3375451861063;5.54046589638452
39405;39;394050000;Z;5;430.0;105.0;0.0;325.0;325.0;135.0;35.0;155.0;165.0;70.0;70.0;15.0;5.0
39406;39;394060000;Z;5;117.313432835821;39.1044776119403;0.0;78.2089552238806;78.2089552238806;34.2164179104478;9.77611940298507;34.2164179104478;34.2164179104478;19.5522388059701;19.5522388059701;4.88805970149254;0.0
39409;39;394090000;Z;5;59.4715447154472;16.219512195122;0.0;43.2520325203252;43.2520325203252;16.219512195122;0.0;27.0325203252033;27.0325203252033;5.40650406504065;5.40650406504065;0.0;5.40650406504065
39411;39;394110000;Z;5;735.756356782869;262.474816719175;4.96648588546242;468.315054178231;473.241476729484;153.042832352192;65.0089228903084;255.189721486983;295.083165141851;114.432098505344;34.4849578587686;19.5467295896531;9.69452563386664
