IRIS;REG;DEP;UU2010;COM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_NSCOL15P_DIPLMIN;P17_NSCOL15P_BEPC;P17_NSCOL15P_CAPBEP;P17_NSCOL15P_BAC;P17_NSCOL15P_SUP2;P17_NSCOL15P_SUP34;P17_NSCOL15P_SUP5
743050101;84;74;00652;74305;ZZZZZZ;7430501;H;4;443;142;646;543;323;347;261
743050102;84;74;00652;74305;ZZZZZZ;7430501;H;4;391;89;476;277;149;154;180
743050103;84;74;00652;74305;ZZZZZZ;7430501;H;4;391;106;523;380;266;198;201
743060000;84;74;74000;74306;ZZZZZZ;7430600;Z;5;35;10;111;81;70;39;40
743070000;84;74;74206;74307;ZZZZZZ;7430700;Z;5;59;13;123;109;103;99;128
743080000;84;74;74000;74308;ZZZZZZ;7430800;Z;5;113;26;209;117;65;47;31
743090000;84;74;74000;74309;ZZZZZZ;7430900;Z;5;521;126;1002;672;443;469;520
743100000;84;74;74000;74310;ZZZZZZ;7431000;Z;5;113;36;246;184;173;114;122
743110000;84;74;74203;74311;ZZZZZZ;7431100;Z;5;439;142;943;547;472;337;257
743120000;84;74;74502;74312;ZZZZZZ;7431200;Z;5;256;63;374;191;117;53;43
743130000;84;74;74000;74313;ZZZZZZ;7431300;Z;5;43;17;92;80;62;33;33
743140000;84;74;74000;74314;ZZZZZZ;7431400;Z;5;139;33;313;208;150;115;111
743150000;84;74;74117;74315;ZZZZZZ;7431500;Z;5;84;28;205;138;104;68;79
