IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC;P17_NPER_RP_PROP;P17_NPER_RP_LOC;P17_NPER_RP_LOCHLMV;P17_NPER_RP_GRAT;P17_RP_SDB
627830000;32;62;62000;62783;Saulchoy;ZZZZZZ;6278300;Z;5;163;129;19;15;153;2;0;6;14;38;71;0;3;15;24;38;30;18;129;27;13;19;32;23;13;125;27;12;19;31;22;12;2;0;1;0;0;1;0;17;20;11;80;89;35;10;5;0.0;37.0;27.0;100;120;127;0;215;92;36;10;117.0
627840000;32;62;62000;62784;Saulty;ZZZZZZ;6278400;Z;5;340;309;1;30;311;30;21;10;30;71;178;7;19;17;46;93;68;59;298;58;39;60;57;38;45;269;58;38;58;57;35;23;29;0;1;2;0;3;23;28;56;52;173;221;80;22;8;24.0;139.0;64.0;237;266;291;5;574;174;23;17;302.0
627850000;32;62;62108;62785;Savy-Berlette;ZZZZZZ;6278500;Z;5;390;346;3;41;359;31;0;7;15;85;239;2;1;3;38;89;96;118;339;80;19;44;104;62;30;319;78;19;42;94;57;29;20;2;0;2;10;5;1;27;38;54;227;299;44;2;3;2.0;196.0;82.0;289;323;351;5;776;111;7;4;342.0
627860000;32;62;62000;62786;Selles;ZZZZZZ;6278600;Z;5;136;127;0;9;136;0;0;2;8;35;81;0;3;4;10;38;35;36;126;29;12;14;30;26;14;126;29;12;14;30;26;14;0;0;0;0;0;0;0;5;14;21;87;105;21;0;1;0.0;43.0;10.0;107;119;126;5;267;64;0;1;120.0
627870000;32;62;62000;62787;Sempy;ZZZZZZ;6278700;Z;5;131;119;7;5;130;1;0;1;15;25;78;0;0;4;22;30;34;30;118;16;5;14;17;29;36;118;16;5;14;17;29;36;0;0;0;0;0;0;0;7;12;21;79;90;25;0;4;0.0;30.0;14.0;100;109;123;5;245;70;0;10;112.0
627880000;32;62;62000;62788;Seninghem;ZZZZZZ;6278800;Z;5;299;272;8;19;296;3;0;6;30;49;186;2;3;17;31;71;66;82;257;39;19;34;60;56;49;255;39;19;34;60;56;47;2;0;0;0;0;0;2;28;34;43;167;226;44;3;2;1.0;92.0;41.0;231;255;271;0;607;106;8;8;263.0
627890000;32;62;62000;62789;Senlecques;ZZZZZZ;6278900;Z;5;103;90;4;9;103;0;0;1;3;18;68;0;1;2;10;30;23;23;89;8;11;16;20;21;12;89;8;11;16;20;21;12;0;0;0;0;0;0;0;5;12;20;53;75;14;0;1;0.0;42.0;12.0;84;89;91;0;211;50;0;2;90.0
627900000;32;62;62000;62790;Senlis;ZZZZZZ;6279000;Z;5;77;68;4;5;77;0;0;4;6;11;47;0;2;4;8;17;21;16;68;17;7;12;19;13;0;68;17;7;12;19;13;0;0;0;0;0;0;0;0;3;4;8;53;60;7;0;1;0.0;32.0;7.0;56;63;65;0;139;21;0;3;65.0
627910000;32;62;62000;62791;Séricourt;ZZZZZZ;6279100;Z;5;30;22;6;1;30;0;0;0;0;5;17;0;0;0;1;10;5;6;22;6;1;1;10;2;2;22;6;1;1;10;2;2;0;0;0;0;0;0;0;1;6;2;13;21;1;0;0;1.0;8.0;2.0;21;22;26;0;51;3;0;0;21.0
627920000;32;62;62501;62792;Serques;ZZZZZZ;6279200;Z;5;602;469;97;36;508;0;0;12;45;94;318;2;7;31;50;141;110;128;463;51;55;47;129;108;73;457;51;55;44;129;106;72;0;0;0;0;0;0;0;41;68;74;286;389;72;12;8;0.0;150.0;159.0;398;441;475;5;959;171;26;18;444.0
627930000;32;62;62000;62793;Servins;ZZZZZZ;6279300;Z;5;416;394;0;22;407;9;0;10;41;71;273;0;1;18;54;112;96;113;394;59;25;41;136;72;61;385;54;25;41;133;71;61;9;5;0;0;3;1;0;28;66;64;236;309;75;40;10;3.0;212.0;93.0;362;372;397;5;821;175;94;26;389.0
627940000;32;62;62210;62794;Setques;ZZZZZZ;6279400;Z;5;259;239;4;16;257;2;0;5;17;43;173;2;3;14;38;77;51;53;239;30;49;50;68;30;12;239;30;49;50;68;30;12;0;0;0;0;0;0;0;13;28;32;166;200;35;6;4;2.0;130.0;42.0;210;224;237;0;512;91;9;5;230.0
627950000;32;62;62000;62795;Sibiville;ZZZZZZ;6279500;Z;5;52;42;3;7;52;0;0;0;1;7;34;0;0;0;1;14;13;14;42;19;5;7;4;5;2;42;19;5;7;4;5;2;0;0;0;0;0;0;0;3;8;12;19;36;6;0;0;0.0;12.0;7.0;34;39;40;0;92;19;0;0;42.0
