IRIS;REG;DEP;UU2010;COM;LIBCOM;TRIRIS;GRD_QUART;TYP_IRIS;LAB_IRIS;P17_LOG;P17_RP;P17_RSECOCC;P17_LOGVAC;P17_MAISON;P17_APPART;P17_RP_1P;P17_RP_2P;P17_RP_3P;P17_RP_4P;P17_RP_5PP;P17_RP_M30M2;P17_RP_3040M2;P17_RP_4060M2;P17_RP_6080M2;P17_RP_80100M2;P17_RP_100120M2;P17_RP_120M2P;P17_RP_ACHTOT;P17_RP_ACH19;P17_RP_ACH45;P17_RP_ACH70;P17_RP_ACH90;P17_RP_ACH05;P17_RP_ACH14;P17_RPMAISON_ACHTOT;P17_RPMAISON_ACH19;P17_RPMAISON_ACH45;P17_RPMAISON_ACH70;P17_RPMAISON_ACH90;P17_RPMAISON_ACH05;P17_RPMAISON_ACH14;P17_RPAPPART_ACHTOT;P17_RPAPPART_ACH19;P17_RPAPPART_ACH45;P17_RPAPPART_ACH70;P17_RPAPPART_ACH90;P17_RPAPPART_ACH05;P17_RPAPPART_ACH14;P17_MEN_ANEM0002;P17_MEN_ANEM0204;P17_MEN_ANEM0509;P17_MEN_ANEM10P;P17_RP_PROP;P17_RP_LOC;P17_RP_LOCHLMV;P17_RP_GRAT;P17_RP_CCCOLL;P17_RP_CCIND;P17_RP_CINDELEC;P17_RP_GARL;P17_RP_VOIT1P;C17_RP_HSTU1P;C17_RP_HSTU1P_SUROCC
122690000;76;12;12000;12269;La Serre;ZZZZZZ;1226900;Z;5;76;53;22;1;72;4;1;0;3;4;46;1;0;3;4;9;16;21;52;18;5;10;10;7;4;50;17;5;10;10;7;2;3;1;0;0;0;0;2;3;6;6;39;49;5;0;0;0.0;32.0;3.0;42;50;52;0
122700000;76;12;12102;12270;Sévérac d'Aveyron;ZZZZZZ;1227000;Z;5;2846;1873;524;449;2347;491;11;124;339;545;854;21;69;187;351;554;370;321;1846;499;194;267;413;268;205;1527;445;155;209;361;205;152;313;54;38;58;50;61;52;181;297;302;1093;1377;440;63;56;76.0;939.0;452.0;1329;1681;1855;25
122720000;76;12;12000;12272;Sonnac;ZZZZZZ;1227200;Z;5;276;208;29;40;269;3;2;6;27;76;97;0;1;9;21;71;52;53;206;62;7;8;51;37;41;204;62;7;8;51;35;41;1;0;0;0;0;1;0;16;30;37;125;174;33;8;1;3.0;75.0;70.0;190;201;209;5
122730000;76;12;12000;12273;Soulages-Bonneval;ZZZZZZ;1227300;Z;5;180;124;30;26;162;17;0;4;14;34;71;1;2;7;18;15;29;51;119;34;13;15;18;26;12;108;32;9;11;18;25;12;11;2;4;4;0;1;0;5;18;17;84;97;23;8;4;3.0;58.0;34.0;107;117;121;0
122740000;76;12;12000;12274;Sylvanès;ZZZZZZ;1227400;Z;5;119;47;55;17;109;7;1;2;12;11;21;1;4;3;8;11;10;10;46;18;1;3;13;7;4;40;16;1;3;11;6;3;5;2;0;0;2;1;0;5;7;7;28;43;2;0;2;3.0;26.0;5.0;39;45;40;0
122750000;76;12;12000;12275;Tauriac-de-Camarès;ZZZZZZ;1227500;Z;5;68;24;39;5;66;0;0;2;6;7;10;0;0;3;7;4;6;4;24;6;6;3;1;7;2;22;4;6;3;1;6;2;0;0;0;0;0;0;0;3;2;3;16;22;1;0;1;0.0;7.0;0.0;21;21;22;6
122760000;76;12;12000;12276;Tauriac-de-Naucelle;ZZZZZZ;1227600;Z;5;241;172;44;25;230;11;1;6;21;40;104;0;3;6;18;44;42;59;169;55;19;29;23;24;19;160;54;17;24;22;24;19;9;1;2;5;1;0;0;15;22;23;112;138;29;8;5;5.0;90.0;33.0;145;159;180;5
122770000;76;12;12000;12277;Taussac;ZZZZZZ;1227700;Z;5;376;234;86;56;369;6;2;11;28;76;117;0;5;18;40;82;60;30;228;47;25;15;84;30;28;221;45;24;15;82;28;28;6;2;1;0;2;1;0;19;30;28;156;199;28;10;8;6.0;63.0;40.0;202;220;233;5
122780000;76;12;12000;12278;Tayrac;ZZZZZZ;1227800;Z;5;123;76;40;6;116;6;0;2;10;17;47;0;2;3;7;23;15;26;75;39;7;8;14;5;4;73;37;6;8;14;5;4;3;2;1;0;0;0;0;9;7;14;47;66;7;0;4;7.0;27.0;9.0;64;73;77;0
122800000;76;12;12000;12280;Thérondels;ZZZZZZ;1228000;Z;5;349;207;101;41;325;22;5;12;25;56;109;0;6;12;42;58;48;42;205;74;16;28;55;24;9;190;71;16;25;50;20;9;14;3;0;3;4;4;0;11;21;24;151;169;29;8;9;7.0;92.0;31.0;136;180;209;5
