type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;m;l;0;150;;5;1550;;;0;0;1;1;0;;42.01287;8.8751;0;;;0.0;;0;;;3.0;0.0;;;;;;;Électrique;Radiateur;Individuel;a;n;m;2020-02;2A209;0000;2A2090000;Z;2A
pr;a;l;0;57;;3;950;;;0;0;1;0;C;133;41.84975;8.78825;0;;;;;0;A;;1.0;1.0;;;;False;;;;;Individuel;a;n;a;2020-02;2A228;0000;2A2280000;Z;2A
pr;a;l;1;63;;3;1300;;;0;0;1;0;A;50.0;41.84255;8.79256;0;1.0;;2.0;;0;A;;1.0;1.0;;;;False;;;;;Individuel;a;n;a;2020-02;2A228;0000;2A2280000;Z;2A
pr;a;l;0;45;;2;697;;;0;0;1;0;B;60.0;41.91413;8.72413;0;3.0;;;;0;A;2015.0;;;;;;False;;;Électrique;;Collectif;a;n;a;2020-02;2A004;0401;2A0040401;H;2A
pr;m;l;0;207;2200.0;4;2400;;;0;0;0;3;E;;41.92467;8.71561;0;;;;;0;C;;;;;;;;;;;;;a;n;m;2020-02;2A004;0503;2A0040503;H;2A
pr;a;l;0;61;;3;854;;;0;0;1;0;C;149;42.00431;8.83903;0;1.0;;;;Sud;B;2009.0;2.0;;;;;;;;Électrique;;Individuel;a;n;a;2020-02;2A271;0000;2A2710000;Z;2A
pr;a;l;0;74;;3;1023;;;0;0;1;0;A;38;41.60552;9.27823;0;0.0;;;;0;A;2018.0;;;;;;False;;;;;Individuel;a;n;a;2020-02;2A247;0201;2A2470201;H;2A
pr;a;l;0;72;;3;818;;;0;0;0;1;0;0;41.70921;9.33145;0;;;;;0;;;;;;;;;;;;;;a;n;a;2020-02;2A092;0000;2A0920000;Z;2A
pr;a;l;0;141;;4;1400;;;0;0;0;2;E;276.0;41.91584;8.72871;0;4.0;;;;Sud;F;;2.0;;;;;;;;Gaz;;Individuel;a;n;a;2020-02;2A004;0302;2A0040302;H;2A
pr;a;l;4;43;;2;800;;;0;0;0;1;D;219.0;41.91417;8.72598;0;6.0;;;;0;B;;;;;;;True;;;;;Individuel;a;n;a;2020-02;2A004;0302;2A0040302;H;2A
