type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;m;v;39110;39009;0;203;1280.0;8;224700;;;0;0;0;2;C;138;46.8678;5.93768;Oui;1.0;;;True;Sud;E;;3.0;;;False;;;;;Bois;;;m;n;m;2020-03;39009;0000;390090000;Z;39
pr;a;l;39140;39056;1;55;;3;450;;;0;0;1;0;E;291;46.74574;5.45024;0;1.0;;;False;0;C;;2.0;;;;;False;;;;;Individuel;a;n;a;2020-03;39056;0000;390560000;Z;39
pr;a;l;39140;39056;2;70;;2;449;;;0;0;0;0;0;;46.74625;5.45536;0;;;;False;0;;;;;;;;False;;;Gaz;;;a;n;a;2020-03;39056;0000;390560000;Z;39
pr;m;v;39200;39032;0;215;4000.0;7;255000;;;0;0;0;0;NS;;46.39447;5.83832;Non;2.0;;;;0;;;;;;False;;;;;;;;m;n;m;2020-03;39032;0000;390320000;Z;39
pr;m;v;39200;39032;0;140;1700.0;7;295000;;;0;0;0;0;D;173;46.39535;5.85567;Non;2.0;;;;0;E;;;;;False;;;;;Gaz;;Individuel;m;n;m;2020-03;39032;0000;390320000;Z;39
pr;m;v;39100;39198;0;64;1400.0;4;110000;;;0;0;0;0;E;329.0;47.11024;5.47781;Oui;;;;;0;F;;;;;;;;;;Fioul;;Central;a;n;m;2020-03;39198;0104;391980104;H;39
pr;m;v;39100;39198;0;112;;4;154000;;;0;0;0;0;D;201.0;47.10885;5.48159;0;;;;;0;D;;;;;;;;;;Fioul;;Central;a;n;m;2020-03;39198;0104;391980104;H;39
pr;m;v;39270;39397;0;85;650.0;4;153000;;;0;0;1;0;F;387;46.52438;5.6168;Non;;;;False;0;G;;1.0;;;;;;;;;Radiateur;;a;n;m;2020-03;39397;0000;393970000;Z;39
pr;m;v;39270;39397;0;195;1600.0;6;150000;;;0;0;2;0;D;158.0;46.46085;5.66948;Non;;;;;0;A;;;;;False;;;;;;;;m;n;m;2020-03;39397;0000;393970000;Z;39
pr;m;v;39270;39397;0;160;1217.0;6;278000;;;0;0;1;1;D;187;46.47489;5.66206;Non;1.0;;3.0;;0;E;;2.0;;;False;;;;;Fioul;;Individuel;m;n;m;2020-03;39397;0000;393970000;Z;39
pr;a;l;39250;39391;0;70;;3;595;;;0;0;0;0;0;;46.77956;6.04315;0;;;;;0;;;;;;;;;;;Électrique;Radiateur;Individuel;a;n;a;2020-03;39391;0000;393910000;Z;39
pr;m;v;39140;39379;0;96;800.0;4;179900;;;0;0;0;1;C;146.0;46.74226;5.43873;Oui;;;;False;0;D;;;1.0;;;;;;;Gaz;;Individuel;a;n;m;2020-03;39379;0000;393790000;Z;39
pr;m;l;39140;39056;0;105;;4;698;;;0;0;0;0;0;;46.744;5.45794;0;;;;False;0;;1974.0;;;;;;;;;Fioul;;Individuel;a;n;m;2020-03;39574;0000;395740000;Z;39
pr;m;l;39210;39304;0;103;;6;1009;;;0;0;0;0;E;263;46.73139;5.58532;0;;;;False;0;C;1980.0;;;False;False;;;;;;;;a;n;m;2020-03;39304;0000;393040000;Z;39
pr;a;l;39140;39160;1;35;;2;375;;;0;0;1;0;F;399;46.80148;5.45182;0;1.0;;1.0;True;0;D;;1.0;;;;;False;;;;;Individuel;a;n;a;2020-03;39160;0000;391600000;Z;39
pr;a;l;39570;39146;0;35;;2;413;;;0;0;0;0;F;337;46.65711;5.49705;0;2.0;;;False;0;C;;;;False;False;;False;;;;;;a;n;a;2020-03;39146;0000;391460000;Z;39
pr;m;v;39290;;0;170;;6;100000;;;448;0;0;0;0;;47.176;5.47519;Non;;;;;0;;;;;;;;;;;;;;a;n;m;2020-03;39141;0000;391410000;Z;39
pr;m;v;39350;39464;0;158;2930.0;4;220000;;;0;0;0;0;VI;;47.21154;5.73036;Oui;;;;;0;VI;;;;;;;;;;Fioul;Radiateur;Individuel;a;n;m;2020-03;39464;0000;394640000;Z;39
pr;m;v;39570;39171;0;109;1067.0;5;299500;;;0;0;1;1;B;53;46.65966;5.4521;Oui;;;1.0;False;0;A;2015.0;2.0;;;;;;;;;;;m;n;m;2020-03;39171;0000;391710000;Z;39
pr;m;v;39300;39522;0;385;10000.0;14;580000;;;0;0;0;0;E;236.0;46.85542;5.96078;Non;;;;;Nord-Est;C;;;;;False;;;;;;;;m;n;m;2020-03;39522;0000;395220000;Z;39
pr;m;l;39140;39279;0;85;;3;633;;;0;0;0;0;D;178;46.71007;5.44573;0;;;;False;0;B;;;1.0;;;;;;;;;Individuel;a;n;m;2020-03;39279;0000;392790000;Z;39
pr;m;v;39130;39063;0;233;;10;135000;;;0;0;0;0;0;;46.59933;5.84704;0;;;;;Sud-Est-Ouest;;;;;;;;;;;Fioul;Radiateur;Individuel;a;n;m;2020-03;39063;0000;390630000;Z;39
pr;m;v;39140;39456;0;150;2660.0;6;269000;;;0;0;0;1;E;301.0;46.75904;5.43281;Oui;2.0;;;True;0;E;1982.0;1.0;;;;;;;;;;;m;n;m;2020-03;39456;0000;394560000;Z;39
pr;m;v;39100;39198;0;102;570.0;5;189000;;;0;0;0;0;0;;47.10636;5.48787;0;0.0;;;;0;;;;;;;;;;;Gaz;;Individuel, Central;a;n;m;2020-03;39198;0102;391980102;H;39
pr;m;v;39100;39198;0;169;960.0;6;349000;;;0;0;0;0;0;;47.10028;5.48898;0;1.0;;;;0;;;;;;;;;;;;Pompe à chaleur, Sol;Individuel;a;n;m;2020-03;39198;0102;391980102;H;39
pr;a;l;39100;39198;2;43;;2;399;;;0;0;0;1;C;144;47.1012;5.49696;0;2.0;;;True;0;D;1961.0;;;False;False;;False;;;;;;a;n;a;2020-03;39198;0102;391980102;H;39
pr;a;l;39100;39198;2;63;;3;523;;;0;0;0;1;E;260;47.10646;5.48499;0;;;1.0;;0;C;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-03;39198;0102;391980102;H;39
pr;mn;v;39350;;0;130;750.0;6;273900;;;0;0;2;0;0;;47.25506;5.69757;0;;;;;0;;;;;;;;;;;;;;cm;o;m;2020-03;39402;0000;394020000;Z;39
pr;m;v;39290;39335;0;84;;4;69000;;;0;0;0;1;NS;;47.20152;5.51711;Non;2.0;;;False;0;NS;;1.0;;;;;;;;Électrique;Radiateur;Individuel;m;n;m;2020-03;39335;0000;393350000;Z;39
pr;m;v;39800;39354;0;150;3082.0;9;146000;;;0;0;0;1;NS;;46.89345;5.61823;Non;1.0;;;;Est-Ouest;;;2.0;;;False;;;;;Bois;;Individuel;m;n;m;2020-03;39354;0000;393540000;Z;39
pr;a;l;39100;39233;2;59;;3;610;;;0;1;0;1;C;130;47.08443;5.4573;0;2.0;;;False;0;D;;2.0;;False;False;7.0;False;;;Gaz;;Individuel;a;n;a;2020-03;39233;0000;392330000;Z;39
pr;m;vi;39380;39093;0;96;5000.0;4;27304;;;0;0;0;0;A;;46.99593;5.70031;Oui;;;1.0;False;0;;;;;;;;;;;;;Individuel;a;n;m;2020-03;39093;0000;390930000;Z;39
pr;a;v;39200;39478;0;36;;2;28990;;;0;0;1;0;E;258;46.38168;5.85044;Non;3.0;;;;0;B;;;;;False;;False;15.0;25.0;;;;m;n;a;2020-03;39478;0104;394780104;H;39
pr;a;v;39200;39478;0;79;;4;72990;;;0;0;1;0;D;199;46.39534;5.86171;Non;2.0;;;True;0;F;;1.0;;;False;;False;7.0;240.0;Fioul;;Individuel;m;n;a;2020-03;39478;0104;394780104;H;39
pr;a;v;39200;39478;2;100;;4;84990;;;0;0;1;0;E;257.0;46.38724;5.85351;Non;;;;;Est-Ouest;F;;1.0;;;False;;False;30.0;540.0;Gaz;;Individuel;m;n;a;2020-03;39478;0104;394780104;H;39
