type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;a;v;0;31;;1;90000;;;417;0;0;0;D;215;41.9256;8.7364;Oui;;;;;0;E;;;;;;;;98.0;;;;;a;n;a;2020-03;2A004;0103;2A0040103;H;2A;18.7;4.0;0.077;19.91;57.0;0.082;2903.23
pr;a;v;0;47;;2;220000;;;0;0;0;0;0;;41.92405;8.73772;Oui;;;0.0;;0;;;;;;;;;10.0;600.0;;;;a;n;a;2020-03;2A004;0103;2A0040103;H;2A;16.3;15.0;0.042;16.3;128.0;0.042;4680.85
pr;a;v;0;31;;1;99000;;;0;0;1;0;D;215;41.9248;8.73665;Oui;8.0;;;False;0;E;;1.0;1.0;;;;;98.0;450.0;Gaz;Radiateur;;a;n;a;2020-03;2A004;0103;2A0040103;H;2A;18.7;4.0;0.07;19.91;57.0;0.075;3193.55
pr;a;v;0;38;;1;175000;;;0;0;1;0;0;;41.92304;8.73615;Oui;0.0;;0.0;;0;;;0.0;0.0;;False;;False;;;Électrique;Climatisation révérsible;Individuel;a;n;a;2020-03;2A004;0103;2A0040103;H;2A;18.7;4.0;0.049;19.91;57.0;0.052;4605.26
pr;a;v;0;47;;2;220000;;;916;0;0;0;0;;41.92405;8.73771;Oui;;;;;0;;;;;;;;;10.0;;;;;a;n;a;2020-03;2A004;0103;2A0040103;H;2A;16.3;15.0;0.042;16.3;128.0;0.042;4680.85
pr;a;v;3;124;;4;565000;;;0;0;0;0;0;;41.93469;8.75909;0;6.0;;;;Sud-Est-Ouest;;;;;;;;True;;;;;;a;n;a;2020-03;2A004;0801;2A0040801;H;2A;11.44;2.0;0.03;11.66;60.0;0.031;4556.45
pr;a;v;1;102;;4;419000;;;0;0;0;0;0;;41.93469;8.75909;0;5.0;;;;0;;;;;;;;True;;;;;;a;n;a;2020-03;2A004;0801;2A0040801;H;2A;11.44;2.0;0.033;11.66;60.0;0.034;4107.84
pr;a;v;-1;45;;1;240000;;;0;0;1;0;D;197;41.92872;8.75814;Oui;6.0;;1.0;;0;B;1970.0;1.0;1.0;;True;;True;90.0;696.0;;;Individuel;a;n;a;2020-03;2A004;0801;2A0040801;H;2A;20.52;5.0;0.046;19.91;57.0;0.045;5333.33
pr;m;v;0;230;;9;590000;;;2473;0;0;0;0;;41.92926;8.75821;Non;;;;;0;;;;;;;;;;;;;;a;n;m;2020-03;2A004;0801;2A0040801;H;2A;;;;;;;2565.22
pr;a;v;0;62;;3;185900;;;0;0;0;0;0;;41.92802;8.6661;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0402;2A0040402;H;2A;12.13;7.0;0.049;12.86;109.0;0.051;2998.39
pr;a;v;0;67;;3;197000;;;0;0;0;0;0;;41.92802;8.6661;Non;;;;;0;;;;;;;;;;;;;;ca;o;a;2020-03;2A004;0402;2A0040402;H;2A;12.13;7.0;0.05;12.86;109.0;0.052;2940.3
