DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
2A;2A004;pr;ca;an;v;5;0;188.0;1010000.0;5077.73;13.26;0.03;0.0;0.0;0.0;7
2A;2A004;pr;ca;an;v;6;0;185.0;860000.0;4648.65;;;0.0;0.0;0.0;1
2A;2A004;pr;cm;m;v;4;0;81.0;379100.0;4680.25;13.04;0.033;0.0;0.0;0.0;1
2A;2A004;pr;m;a;v;3;NS;69.0;240000.0;3478.26;12.86;0.044;0.0;0.0;0.0;1
2A;2A004;pr;m;m;v;8;NS;480.0;1000000.0;2083.33;;;0.0;2.0;2.0;1
2A;2A006;pr;a;m;v;4;0;109.5;414500.0;3860.73;;;0.0;0.0;0.5;2
2A;2A006;pr;a;m;v;4;C;130.0;359000.0;2761.54;;;0.0;1.0;1.0;2
2A;2A006;pr;a;m;v;4;E;130.0;474000.0;3646.15;;;0.0;0.5;0.5;2
2A;2A006;pr;a;m;v;4;NS;107.0;350000.0;3271.03;;;0.0;0.0;1.0;1
2A;2A006;pr;a;m;v;5;0;168.0;530000.0;3154.76;;;0.0;1.0;1.0;1
2A;2A006;pr;a;m;v;5;D;110.0;545000.0;4954.55;;;0.0;0.0;0.0;1
2A;2A006;pr;a;m;v;6;D;205.0;472500.0;2304.88;;;1.0;0.0;2.0;1
2A;2A006;pr;a;m;v;7;C;200.0;520000.0;2600.0;;;0.0;0.0;0.0;1
2A;2A006;pr;a;m;vp;8;0;222.0;630000.0;2837.84;;;0.0;3.0;2.0;1
2A;2A008;pr;a;a;v;1;0;32.5;163672.5;4868.42;;;0.0;0.5;0.0;4
2A;2A008;pr;a;a;v;1;D;16.0;103000.0;6437.5;;;0.0;1.0;0.0;1
2A;2A008;pr;a;a;v;1;E;21.0;129600.0;6171.43;;;0.0;0.0;1.0;1
2A;2A008;pr;a;a;v;1;VI;30.0;150000.0;5000.0;;;0.0;0.0;0.0;1
2A;2A008;pr;a;a;v;2;0;48.0;237500.0;4940.3;17.12;0.042;0.0;0.0;0.0;2
2A;2A008;pr;a;a;v;2;C;42.0;190800.0;4542.86;17.12;0.045;0.0;0.0;1.0;1
2A;2A008;pr;a;a;v;2;D;45.0;206000.0;4577.78;17.12;0.045;0.0;1.0;0.0;1
2A;2A008;pr;a;a;v;2;VI;47.0;245000.0;5227.27;17.12;0.04;0.0;0.5;0.5;2
2A;2A008;pr;a;a;v;3;0;79.0;390000.0;5370.37;;;0.0;0.33;0.0;3
2A;2A008;pr;a;a;v;3;B;101.0;398000.0;3940.59;;;0.0;0.0;1.0;1
2A;2A008;pr;a;a;v;3;NS;69.0;405000.0;5869.57;;;0.0;1.0;0.0;1
2A;2A008;pr;a;a;v;3;VI;47.0;188000.0;4000.0;;;0.0;0.0;0.0;1
2A;2A008;pr;a;a;v;4;A;114.0;450000.0;3947.37;17.48;0.053;0.0;1.0;1.0;1
2A;2A008;pr;a;a;v;4;VI;95.0;515000.0;5421.05;17.48;0.039;0.0;0.0;0.0;1
2A;2A008;pr;a;m;v;3;C;55.0;255000.0;4636.36;;;0.0;1.0;0.0;1
2A;2A008;pr;a;m;v;3;E;57.0;275000.0;4824.56;;;0.0;0.0;1.0;1
2A;2A008;pr;a;m;v;4;A;106.0;396000.0;3735.85;;;0.0;0.0;0.0;1
2A;2A008;pr;a;m;v;5;C;54.0;265000.0;4907.41;13.83;0.034;0.0;0.0;1.0;1
2A;2A008;pr;a;m;v;5;VI;195.0;1008000.0;5502.86;13.83;0.032;0.0;1.0;1.5;2
2A;2A008;pr;a;m;v;6;D;203.0;775000.0;4131.51;;;0.0;2.0;1.5;2
2A;2A008;pr;a;m;vp;4;B;140.0;1250000.0;8928.57;;;0.0;0.0;0.0;1
2A;2A008;pr;ca;an;v;1;0;34.0;165000.0;4868.42;;;0.0;0.0;0.0;2
2A;2A008;pr;ca;an;v;2;0;45.0;240000.0;5333.33;17.12;0.039;0.0;0.0;0.0;1
2A;2A008;pr;ca;an;v;3;0;81.0;475000.0;5864.2;;;0.0;0.0;0.0;3
2A;2A017;pr;a;a;v;3;D;61.5;150000.0;2458.14;;;0.0;1.0;0.5;2
2A;2A017;pr;a;m;v;2;NS;39.0;172000.0;4410.26;;;0.0;1.0;0.0;1
2A;2A017;pr;a;m;v;3;D;76.0;590000.0;7763.16;;;0.0;1.0;0.0;1
2A;2A017;pr;a;m;v;4;C;84.0;350000.0;4166.67;;;0.0;0.0;1.0;2
2A;2A017;pr;a;m;v;5;E;98.0;399000.0;4071.43;;;0.0;0.0;1.0;1
2A;2A017;pr;a;m;v;6;C;128.0;699000.0;5460.94;;;0.0;2.0;1.0;1
2A;2A017;pr;a;m;vp;6;C;128.0;699000.0;5460.94;;;0.0;2.0;1.0;1
2A;2A018;pr;a;m;v;7;C;178.0;498000.0;2797.75;;;0.0;3.0;0.0;1
2A;2A031;pr;a;a;v;1;A;40.0;30000.0;750.0;;;0.0;1.0;0.0;1
2A;2A031;pr;a;a;v;3;A;65.0;115000.0;1769.23;;;0.5;1.0;0.0;2
2A;2A031;pr;a;a;v;7;A;170.0;228500.0;1344.12;;;0.0;3.0;0.0;1
2A;2A031;pr;a;m;v;4;D;121.0;180000.0;1487.6;;;0.0;1.0;0.0;1
2A;2A032;pr;a;a;v;2;0;46.0;210000.0;4565.22;14.8;0.039;0.0;0.0;1.0;1
2A;2A032;pr;a;a;v;3;0;73.0;340000.0;4657.53;10.85;0.028;0.0;0.0;0.0;1
2A;2A032;pr;a;a;v;3;A;73.0;340000.0;4657.53;10.85;0.028;0.0;0.0;0.0;1
2A;2A032;pr;a;a;v;3;NS;73.0;340000.0;4657.53;10.85;0.028;0.0;1.0;1.0;1
2A;2A032;pr;a;a;v;3;VI;77.0;368000.0;4779.22;10.85;0.027;0.0;0.0;1.0;1
2A;2A032;pr;a;a;v;4;NS;86.0;385000.0;4476.74;;;0.0;1.0;1.0;1
2A;2A032;pr;a;a;v;4;VI;85.0;385000.0;4529.41;;;0.0;0.0;0.0;1
2A;2A032;pr;a;m;v;2;VI;40.0;237000.0;5925.0;;;0.0;0.0;0.0;1
2A;2A032;pr;a;m;v;3;D;98.0;269000.0;2744.9;;;0.0;1.0;1.0;2
2A;2A032;pr;a;m;v;3;VI;70.0;378000.0;5400.0;;;0.0;0.0;0.0;1
2A;2A032;pr;a;m;v;4;D;132.0;439000.0;3325.76;;;0.0;1.0;1.0;1
2A;2A032;pr;a;m;v;5;C;143.0;574750.0;4019.23;11.43;0.034;0.0;1.0;1.0;1
2A;2A032;pr;a;m;v;5;D;142.0;617500.0;4352.65;11.43;0.032;0.0;0.5;0.5;2
2A;2A032;pr;a;m;vp;4;E;177.0;630000.0;3559.32;;;0.0;1.0;2.0;1
2A;2A032;pr;a;m;vp;6;A;200.0;945000.0;4725.0;;;0.0;1.0;2.0;1
2A;2A032;pr;a;m;vp;6;C;190.0;1050000.0;5526.32;;;0.0;0.0;0.0;1
2A;2A032;pr;a;m;vp;7;C;270.0;785000.0;2907.41;;;0.0;0.0;0.0;1
2A;2A032;pr;a;m;vp;8;C;185.0;675000.0;3648.65;;;0.0;1.0;1.0;1
2A;2A032;pr;ca;an;v;3;0;68.0;248000.0;3718.75;10.85;0.033;0.0;0.0;0.0;3
2A;2A032;pr;cm;mn;v;3;0;73.0;350000.0;4794.52;;;0.0;0.0;0.0;1
2A;2A032;pr;cm;mn;v;4;0;85.0;385000.0;4529.41;;;0.0;0.0;0.0;1
2A;2A035;pr;a;m;v;6;VI;210.0;1040000.0;4952.38;;;0.0;0.0;0.0;1
