type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG
pr;a;l;2;65;;3;959;;;0;0;0;0;B;75.16;43.12804;6.02083;0;3.0;;1.0;;0;C;;;;;;;True;;;;;Individuel;a;n;a;2020-04;83062;0111;830620111;H;83;93.0
pr;a;l;1;79;;3;1196;;;0;1;1;0;C;133;43.12375;5.81081;0;2.0;;;;Sud;A;;;;;False;;False;;;Électrique;;;a;n;a;2020-04;83123;0103;831230103;H;83;93.0
pr;a;l;0;80;;4;650;;;0;0;0;1;D;191;44.54818;6.06251;0;;;;;0;E;;;;;;;;;;;;;a;n;a;2020-04;05061;0113;050610113;H;05;93.0
pr;m;l;0;109;;6;978;;;0;0;0;1;0;;43.65282;5.26115;0;;;;;0;;;;;;;;;;;;;Individuel;a;n;m;2020-04;13050;0101;130500101;H;13;93.0
pr;m;l;0;109;;6;900;;;0;0;0;0;0;;43.65288;5.26114;Oui;;;;;0;;;;;;;;;;;;;;a;;m;2020-04;13050;0101;130500101;H;13;93.0
pr;a;l;3;20;;1;450;;;0;0;1;0;E;271;43.07318;5.91237;0;;;;True;0;C;;;;;False;;False;;;;;;a;n;a;2020-04;83153;0102;831530102;H;83;93.0
pr;m;l;0;59;;3;882;;;0;1;0;1;F;422;43.56922;7.019;0;2.0;;1.0;;0;G;;;;;False;;;;;Fioul;;;a;n;m;2020-04;06030;0113;060300113;H;06;93.0
pr;a;l;0;28;50.0;1;545;;;0;0;0;1;D;179;43.38949;6.32374;0;;;;;0;B;;1.0;;;;;False;;;;;Individuel;a;n;a;2020-04;83073;0103;830730103;H;83;93.0
pr;a;l;1;57;;3;632;;;0;0;0;1;A;40.6;43.39366;6.3156;0;;;;;0;A;;;;;False;;False;;;;;;a;n;a;2020-04;83073;0103;830730103;H;83;93.0
pr;a;l;3;54;;2;890;;;0;1;0;1;0;;43.70232;7.27625;0;;;;False;0;;;1.0;;;;;;;;;;Individuel;a;n;a;2020-04;06088;1702;060881702;H;06;93.0
pr;a;l;0;52;;2;475;;;0;0;0;1;D;217.0;43.2372;6.0723;0;;;;False;0;C;;1.0;;;;;False;;;;;;a;n;a;2020-04;83049;0103;830490103;H;83;93.0
pr;a;l;1;84;;4;817;;;0;1;1;1;C;105;43.5341;6.46791;0;;;1.0;False;0;A;;;;;;;True;;;Électrique;;Individuel;a;n;a;2020-04;83050;0102;830500102;H;83;93.0
pr;a;l;2;31;;2;659;;;0;0;1;0;C;121;43.70502;7.27976;0;4.0;;0.0;;0;C;;1.0;0.0;;True;;False;;;Électrique;;Individuel;a;n;a;2020-04;06088;1602;060881602;H;06;93.0
pr;a;l;0;90;;4;1600;;;0;0;0;0;C;150;43.69912;7.29496;Non;;;;;0;D;;;;;;;;;;;;;a;;a;2020-04;06088;0403;060880403;H;06;93.0
pr;a;l;0;55;;2;767;;;0;0;1;0;0;;43.35607;5.34525;0;2.0;;1.0;False;Sud-Est-Ouest;;;1.0;1.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;13216;0301;132160301;H;13;93.0
pr;a;l;4;48;;2;775;;;0;0;0;1;C;95;43.25079;5.41426;0;4.0;;1.0;;0;A;;;;;;;True;;;;;Individuel;a;n;a;2020-04;13209;0403;132090403;H;13;93.0
pr;a;l;0;52;;3;699;;;0;0;0;0;0;;43.27375;5.41428;0;;;0.0;;0;;;;;;;;;;;Électrique;Radiateur;;a;n;a;2020-04;13210;0503;132100503;H;13;93.0
pr;a;l;0;39;;2;635;;;0;0;0;0;0;;43.27375;5.41428;0;;;0.0;;0;;;;;;;;;;;;;;a;n;a;2020-04;13210;0503;132100503;H;13;93.0
pr;a;l;4;44;;2;670;;;0;0;1;0;A;37.7;43.32384;5.44188;0;5.0;;1.0;;0;A;;;;;True;;True;;;;;;a;n;a;2020-04;13213;0607;132130607;H;13;93.0
pr;a;l;3;42;;2;694;;;0;0;0;1;A;31;43.32153;5.44762;0;3.0;;1.0;False;0;B;2012.0;1.0;1.0;;;;True;;;Gaz;Radiateur;Collectif;a;n;a;2020-04;13213;0604;132130604;H;13;93.0
pr;a;l;0;60;;3;886;;;0;0;1;0;0;;43.35653;5.34443;0;2.0;;1.0;False;Sud-Est-Ouest;;;1.0;1.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;13216;0301;132160301;H;13;93.0
pr;a;l;0;61;;3;887;;;0;0;1;0;0;;43.35664;5.34513;0;2.0;;1.0;False;Sud-Est-Ouest;;;1.0;1.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;13216;0301;132160301;H;13;93.0
pr;a;l;2;60;;3;896;;;0;0;1;0;0;;43.35649;5.34517;0;2.0;;1.0;False;Sud-Est-Ouest;;;1.0;1.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;13216;0301;132160301;H;13;93.0
pr;a;l;1;63;;3;871;;;0;0;1;0;0;;43.35616;5.3446;0;2.0;;1.0;False;Sud-Est-Ouest;;;1.0;1.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;13216;0301;132160301;H;13;93.0
pr;a;l;1;61;;3;892;;;0;0;1;0;0;;43.3562;5.34534;0;2.0;;1.0;False;Sud-Est-Ouest;;;1.0;1.0;;;;True;;;Gaz;Radiateur;Individuel;a;n;a;2020-04;13216;0301;132160301;H;13;93.0
pr;a;l;2;54;;2;580;;;0;0;0;1;C;144.0;43.88141;4.85107;0;3.0;;1.0;;Est;A;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;13027;0106;130270106;H;13;93.0
pr;a;l;1;41;;2;541;;;0;0;0;0;0;;43.31645;5.39243;0;;;1.0;False;0;;2018.0;;;;False;;True;;;Gaz;;Individuel;a;n;a;2020-04;13214;0507;132140507;H;13;93.0
pr;a;l;0;40;;2;790;;;0;0;1;0;B;79;43.48072;5.41359;0;3.0;;1.0;False;0;A;2011.0;1.0;1.0;;True;;True;;;Électrique;Radiateur;Individuel;a;n;a;2020-04;13001;0903;130010903;H;13;93.0
pr;a;l;3;67;;4;972;;;0;0;0;0;C;116;43.53776;5.44489;0;;;1.0;False;Est-Ouest;D;1961.0;;;;True;;False;;;;;;a;n;a;2020-04;13001;0505;130010505;H;13;93.0
pr;a;l;2;49;;2;842;;;0;0;0;1;D;205;43.54051;5.44272;0;;;;;0;E;;1.0;;;;;;;;Fioul;Radiateur;Collectif;a;n;a;2020-04;13001;0505;130010505;H;13;93.0
pr;a;l;0;39;;2;687;;;0;0;1;0;A;48.0;43.54938;5.03775;0;3.0;;2.0;;0;C;2015.0;1.0;1.0;;True;;;;;Électrique;;Individuel;a;n;a;2020-04;13092;0101;130920101;H;13;93.0
