DEPCOM;LIBCOM;UU2010;REG;DEP
40035;Bénesse-lès-Dax;40202;75;40
40036;Bénesse-Maremne;40000;75;40
16038;Benest;16000;75;16
57060;Bénestroff;57000;44;57
76077;Bénesville;76000;28;76
85020;Benet;85118;52;85
21063;Beneuvre;21000;27;21
23021;Bénévent-l'Abbaye;23000;75;23
55046;Beney-en-Woëvre;55000;44;55
67028;Benfeld;67210;44;67
18027;Bengy-sur-Craon;18000;24;18
62107;Bénifontaine;00752;32;62
57061;Béning-lès-Saint-Avold;57501;44;57
26048;Bénivay-Ollon;26000;84;26
78057;Bennecourt;78303;11;78
54062;Benney;54000;44;54
68026;Bennwihr;68122;44;68
29006;Bénodet;29402;53;29
21064;Benoisey;21000;27;21
50045;Benoîtville;50000;28;50
17041;Benon;17000;75;17
01037;Bénonces;01000;84;01
14060;Bénouville;14000;28;14
76079;Bénouville;76000;28;76
31063;Benque;31000;76;31
31064;Benque-Dessous-et-Dessus;31000;76;31
65081;Benqué-Molère;65000;76;65
40037;Benquet;40000;75;40
64111;Bentayou-Sérée;64000;75;64
01038;Bény;01000;84;01
14062;Bény-sur-Mer;14000;28;14
01039;Béon;01000;84;01
89037;Béon;89000;27;89
64110;Béost;64000;75;64
31065;Bérat;31103;76;31
32044;Béraut;32000;76;32
65082;Berbérust-Lias;65000;76;65
43027;Berbezit;43000;84;43
24036;Berbiguières;24000;75;24
10037;Bercenay-en-Othe;10000;44;10
10038;Bercenay-le-Hayer;10000;44;10
25054;Berche;25000;27;25
28035;Berchères-les-Pierres;28000;24;28
28034;Berchères-Saint-Germain;28000;24;28
28036;Berchères-sur-Vesgre;28000;24;28
62108;Berck;62401;32;62
17042;Bercloux;17000;75;17
61043;Berd'huis;61000;28;61
32045;Berdoues;32000;76;32
59066;Bérelles;59000;32;59
27055;Bérengeville-la-Campagne;27000;28;27
68027;Berentzwiller;68000;44;68
64112;Bérenx;64000;75;64
01040;Béréziat;01000;84;01
72032;Berfay;72000;52;72
67029;Berg;67000;44;67
46027;Berganty;46000;76;46
67030;Bergbieten;67000;44;67
24037;Bergerac;00553;75;24
10039;Bergères;10000;44;10
51049;Bergères-lès-Vertus;51000;44;51
51050;Bergères-sous-Montmirail;51000;44;51
71030;Bergesserin;71000;27;71
68028;Bergheim;68000;44;68
68029;Bergholtz;68000;44;68
68030;Bergholtzzell;68000;44;68
80083;Bergicourt;80000;32;80
08060;Bergnicourt;08000;44;08
63036;Bergonne;63000;84;63
40038;Bergouey;40000;75;40
64113;Bergouey-Viellenave;64000;75;64
57062;Berg-sur-Moselle;57000;44;57
62109;Bergueneuse;62000;32;62
59067;Bergues;59301;32;59
02067;Bergues-sur-Sambre;02000;32;02
22006;Berhet;22000;53;22
50046;Bérigny;50000;28;50
57063;Bérig-Vintrange;57000;44;57
61044;Berjou;61000;28;61
59068;Berlaimont;59601;32;59
02068;Berlancourt;02000;32;02
60062;Berlancourt;60000;32;60
81028;Berlats;81000;76;81
62111;Berlencourt-le-Cauroy;62000;32;62
62112;Berles-au-Bois;62000;32;62
62113;Berles-Monchel;62108;32;62
57064;Berling;57000;44;57
02069;Berlise;02000;32;02
34030;Berlou;34000;76;34
59069;Bermerain;59000;32;59
51051;Berméricourt;51000;44;51
59070;Bermeries;59000;32;59
57065;Bermering;57000;44;57
80084;Bermesnil;80000;32;80
62114;Bermicourt;62000;32;62
90011;Bermont;90000;27;90
16039;Bernac;16000;75;16
81029;Bernac;81000;76;81
65083;Bernac-Debat;65000;76;65
65084;Bernac-Dessus;65000;76;65
64114;Bernadets;64000;75;64
65085;Bernadets-Debat;65000;76;65
65086;Bernadets-Dessus;65000;76;65
67031;Bernardswiller;67303;44;67
67032;Bernardvillé;67000;44;67
80085;Bernâtre;80000;32;80
80086;Bernaville;80000;32;80
27056;Bernay;27301;28;27
80087;Bernay-en-Ponthieu;80000;32;80
72219;Bernay-Neuvy-en-Champagne;72000;52;72
17043;Bernay-Saint-Martin;17000;75;17
77031;Bernay-Vilbert;77121;11;77
56014;Berné;56000;53;56
54063;Bernécourt;54000;44;54
32046;Bernède;32000;76;32
80088;Bernes;80000;32;80
14063;Bernesq;14000;28;14
95058;Bernes-sur-Oise;00459;11;95
16040;Berneuil;16000;75;16
17044;Berneuil;17000;75;17
80089;Berneuil;80000;32;80
87012;Berneuil;87000;75;87
60063;Berneuil-en-Bray;60000;32;60
60064;Berneuil-sur-Aisne;60202;32;60
62115;Berneville;62000;32;62
74033;Bernex;74107;84;74
27057;Bernienville;27000;28;27
76082;Bernières;76000;28;76
14064;Bernières-d'Ailly;14000;28;14
14066;Bernières-sur-Mer;14302;28;14
62116;Bernieulles;62000;32;62
38039;Bernin;38301;84;38
30036;Bernis;30601;76;30
67033;Bernolsheim;67302;44;67
10040;Bernon;10000;44;10
33046;Bernos-Beaulac;33000;75;33
02070;Bernot;02000;32;02
89038;Bernouil;89000;27;89
27059;Bernouville;27000;28;27
68006;Bernwiller;68000;44;68
80090;Berny-en-Santerre;80000;32;80
02071;Berny-Rivière;02108;32;02
28037;Bérou-la-Mulotière;28000;24;28
32047;Berrac;32000;76;32
06015;Berre-les-Alpes;06701;93;06
13014;Berre-l'Étang;00759;93;13
11037;Berriac;11501;76;11
07031;Berrias-et-Casteljau;07000;84;07
56015;Berric;56000;53;56
86022;Berrie;86000;75;86
29007;Berrien;29000;53;29
02072;Berrieux;02000;32;02
64115;Berrogain-Laruns;64204;75;64
51052;Berru;51000;44;51
68032;Berrwiller;68000;44;68
02073;Berry-au-Bac;02000;32;02
18028;Berry-Bouy;18000;24;18
87013;Bersac-sur-Rivalier;87000;75;87
39049;Bersaillin;39000;27;39
59071;Bersée;59000;32;59
59072;Bersillies;59000;32;59
33047;Berson;33000;75;33
67034;Berstett;67000;44;67
