type_annonceur;typedebien;typedetransaction;codepostal;codeinsee;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;mn;v;69400;;0;85;456.0;4;271561;126561.0;145000.0;0;0;1;0;0;;45.98448;4.72138;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69264;0203;692640203;H;69;12.24;1.0;0.046;10.51;6.0;0.039;3194.84
pr;mn;v;69210;;0;112;800.0;4;387278;177278.0;210000.0;0;0;0;0;0;;45.78532;4.6121;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69231;0000;692310000;Z;69;9.52;1.0;0.033;9.52;1.0;0.033;3457.84
pr;mn;v;69420;;0;100;390.0;4;235000;;;0;0;0;0;0;;45.47361;4.75482;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69064;0000;690640000;Z;69;8.91;2.0;0.045;8.91;2.0;0.045;2350.0
pr;m;v;69006;;0;120;;5;950000;;;0;0;0;0;0;;45.76612;4.86808;Non;;;;;0;;;;;;;;;;;;;;ca;;m;2020-04;69386;0702;693860702;H;69;;;;;;;7916.67
pr;a;v;69005;;0;90;;4;500000;;;1946;0;0;0;B;70;45.75642;4.79933;Non;;;;;0;B;;;;;;;;;;;;;a;;a;2020-04;69385;0602;693850602;H;69;13.53;8.0;0.029;13.52;63.0;0.029;5555.56
pr;a;v;69005;;0;78;;3;360000;;;1525;0;0;0;0;;45.75474;4.79924;Oui;;;;;0;;;;;;;;;90.0;;;;;a;;a;2020-04;69385;0602;693850602;H;69;13.28;23.0;0.035;13.64;153.0;0.035;4615.38
pr;mn;v;69270;;0;117;730.0;4;600000;290000.0;310000.0;0;0;0;0;0;;45.84769;4.82208;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69068;0000;690680000;Z;69;;;;;;;5128.21
pr;mn;v;69720;;0;138;529.0;5;474500;214500.0;260000.0;0;0;0;0;0;;45.69648;5.02906;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69287;0101;692870101;H;69;;;;;;;3438.41
pr;mn;v;69730;;0;100;;4;330500;330500.0;;0;0;0;0;0;;45.89791;4.83941;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69278;0000;692780000;Z;69;;;;;;;3305.0
pr;mn;v;69730;;0;105;372.0;4;372000;;;0;0;2;0;0;;45.89791;4.83941;0;;;;;0;;;;;;;;;;;;;;cm;;m;2020-04;69278;0000;692780000;Z;69;;;;;;;3542.86
pr;a;v;69009;;0;64;;3;210000;;;895;0;0;0;E;270;45.799;4.82043;Non;;;;;0;E;;;;;;;;;;;;;a;;a;2020-04;69389;0103;693890103;H;69;13.485;2.0;0.049;12.54;99.0;0.046;3281.25
