type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP
pr;a;l;1;44;;2;638;;;0;0;1;0;B;72;45.30086;5.62974;0;2.0;;2.0;;0;A;;;1.0;;;;True;;;;Radiateur;Collectif;a;n;a;2020-04;38565;0102;385650102;H;38
pr;a;l;1;83;;4;820;;;0;1;0;1;B;83.0;45.58161;4.79759;0;3.0;;1.0;;0;C;;;;;False;;False;;;Électrique;;;a;n;a;2020-04;38087;0000;380870000;Z;38
pr;a;l;0;79;;4;900;;;0;0;0;0;C;91;45.21934;5.69308;Non;;;;;0;D;;;;;;;;;;;;;a;;a;2020-04;38423;0101;384230101;H;38
pr;a;l;1;18;;1;381;;;0;0;1;0;D;215;45.2065;5.70798;0;;;0.0;;0;B;;;0.0;;;;False;;;Électrique;Radiateur;Individuel;a;n;a;2020-04;38423;0101;384230101;H;38
pr;a;l;0;93;;4;1066;;;0;0;0;1;C;145;45.2187;5.69228;0;;;;False;0;D;2006.0;2.0;;;;;True;;;;;;a;n;a;2020-04;38423;0101;384230101;H;38
pr;a;l;1;48;;2;544;;;0;1;0;1;D;180;45.54742;5.56765;0;2.0;;1.0;;Ouest;B;;;0.0;;;;False;;;Électrique;Radiateur;Individuel;a;n;a;2020-04;38001;0000;380010000;Z;38
pr;a;l;0;79;;4;682;;;0;0;0;1;VI;;45.54545;5.56798;0;1.0;;1.0;False;0;VI;;2.0;;;;;False;;;;;;a;n;a;2020-04;38001;0000;380010000;Z;38
pr;a;l;3;64;;3;720;;;0;1;0;1;C;135;45.5958;5.27347;0;;;0.0;;0;D;2007.0;;0.0;;;;False;;;Gaz;Radiateur;;a;n;a;2020-04;38053;0403;380530403;H;38
pr;a;l;5;63;;3;765;;;0;0;0;0;B;51;45.16462;5.72128;0;;;;False;Est-Ouest;B;2012.0;;;;True;;False;;;Gaz;;Collectif;a;n;a;2020-04;38185;0414;381850414;H;38
pr;a;l;2;64;;3;850;;;0;1;0;0;C;143;45.19876;5.73831;0;7.0;;1.0;True;0;D;;;;;False;;True;;;Gaz;;Individuel;a;n;a;2020-04;38185;0210;381850210;H;38
