INSEE_COM;LIBCOM;DEP;REG;ARR;CV;EPCI;NATURE_EPCI;ZE2020;UU2020
88389;Repel;88;44;881;8809;200068369;CC;4407;88000
88390;Robécourt;88;44;882;8804;200068773;CC;4407;88000
88391;Rochesson;88;44;883;8801;200096634;CC;4414;88000
88393;Rollainville;88;44;882;8810;200068559;CC;4404;88000
88394;Romain-aux-Bois;88;44;882;8804;200068773;CC;4407;88000
88395;Romont;88;44;881;8803;200005957;CC;4407;88000
88398;Les Rouges-Eaux;88;44;883;8802;200071066;CA;4417;88000
88399;Le Roulier;88;44;881;8802;200042000;CC;4407;88000
88400;Rouvres-en-Xaintois;88;44;881;8809;200068369;CC;4407;88000
88401;Rouvres-la-Chétive;88;44;882;8810;200068559;CC;4407;88000
88402;Roville-aux-Chênes;88;44;881;8811;200005957;CC;4407;88000
88403;Rozerotte;88;44;882;8817;200068682;CC;4407;88000
88404;Rozières-sur-Mouzon;88;44;882;8804;200068773;CC;4407;88000
88406;Rugney;88;44;881;8803;200068757;CA;4407;88000
88407;Ruppes;88;44;882;8810;200068559;CC;4412;88000
88408;Rupt-sur-Moselle;88;44;881;8815;200033868;CC;4414;88304
88409;Saint-Amé;88;44;881;8812;200068377;CC;4414;88303
88410;Sainte-Barbe;88;44;881;8811;200005957;CC;4407;88000
88411;Saint-Baslemont;88;44;882;8804;200068773;CC;4407;88000
88412;Saint-Benoît-la-Chipotte;88;44;881;8811;200005957;CC;4407;88000
88413;Saint-Dié-des-Vosges;88;44;883;8899;200071066;CA;4417;88402
88415;Saint-Étienne-lès-Remiremont;88;44;881;8812;200068377;CC;4414;88401
88416;Saint-Genest;88;44;881;8803;200005957;CC;4407;88000
88417;Saint-Gorgon;88;44;881;8813;200005957;CC;4407;88202
88418;Sainte-Hélène;88;44;881;8802;200005957;CC;4407;88000
88419;Saint-Jean-d'Ormont;88;44;883;8811;200071066;CA;4417;88000
88421;Saint-Julien;88;44;882;8804;200068773;CC;4407;88000
88423;Saint-Léonard;88;44;883;8814;200071066;CA;4417;88402
88424;Sainte-Marguerite;88;44;883;8814;200071066;CA;4417;88402
88425;Saint-Maurice-sur-Mortagne;88;44;881;8803;200005957;CC;4407;88000
88426;Saint-Maurice-sur-Moselle;88;44;881;8815;200033868;CC;4414;88304
88427;Saint-Menge;88;44;882;8809;200068559;CC;4407;88000
88428;Saint-Michel-sur-Meurthe;88;44;883;8813;200071066;CA;4417;88402
88429;Saint-Nabord;88;44;881;8812;200068377;CC;4414;88401
88430;Saint-Ouen-lès-Parey;88;44;882;8817;200068682;CC;4407;88000
88431;Saint-Paul;88;44;882;8809;200068559;CC;4407;88000
88432;Saint-Pierremont;88;44;881;8811;200005957;CC;4407;88000
88433;Saint-Prancher;88;44;881;8809;200068369;CC;4407;88000
88434;Saint-Remimont;88;44;882;8817;200068682;CC;4407;88000
88435;Saint-Remy;88;44;883;8811;200071066;CA;4417;88000
88436;Saint-Stail;88;44;883;8811;200071066;CA;4417;88000
88437;Saint-Vallier;88;44;881;8803;200068369;CC;4407;88000
88438;La Salle;88;44;883;8813;200071066;CA;4417;88000
88439;Sanchey;88;44;881;8805;200068757;CA;4407;88501
88440;Sandaucourt;88;44;882;8809;200068682;CC;4407;88000
88441;Sans-Vallois;88;44;882;8804;200068773;CC;4407;88000
88442;Sapois;88;44;883;8801;200096634;CC;4414;88303
88443;Sartes;88;44;882;8810;200068559;CC;4404;88000
88444;Le Saulcy;88;44;883;8811;200071066;CA;4417;88000
88445;Saulcy-sur-Meurthe;88;44;883;8814;200071066;CA;4417;88402
88446;Saulxures-lès-Bulgnéville;88;44;882;8817;200068682;CC;4407;88000
88447;Saulxures-sur-Moselotte;88;44;883;8801;200096634;CC;4414;88302
88448;Sauville;88;44;882;8817;200068682;CC;4407;88000
88449;Savigny;88;44;881;8803;200068757;CA;4407;88000
88450;Senaide;88;44;882;8804;200068773;CC;4404;88000
88451;Senones;88;44;883;8811;200071066;CA;4417;88301
88452;Senonges;88;44;882;8804;200068773;CC;4407;88000
88453;Seraumont;88;44;882;8810;200068559;CC;4404;88000
88454;Sercœur;88;44;881;8802;200068757;CA;4407;88000
88455;Serécourt;88;44;882;8804;200068773;CC;4407;88000
88456;Serocourt;88;44;882;8804;200068773;CC;4407;88000
88457;Sionne;88;44;882;8810;200068559;CC;4404;88000
88458;Socourt;88;44;881;8803;200068757;CA;4407;88000
88459;Soncourt;88;44;882;8809;200068559;CC;4407;88000
88460;Soulosse-sous-Saint-Élophe;88;44;882;8810;200068559;CC;4404;88000
88461;Suriauville;88;44;882;8817;200068682;CC;4407;88000
88462;Le Syndicat;88;44;883;8801;200096634;CC;4414;88303
88463;Taintrux;88;44;883;8813;200071066;CA;4417;88402
88464;Tendon;88;44;883;8801;200096634;CC;4414;88000
88465;Thaon-les-Vosges;88;44;881;8808;200068757;CA;4407;88501
88466;They-sous-Montfort;88;44;882;8817;200068682;CC;4407;88000
88467;Thiéfosse;88;44;883;8801;200096634;CC;4414;88303
88468;Le Thillot;88;44;881;8815;200033868;CC;4414;88304
88469;Thiraucourt;88;44;881;8809;200068369;CC;4407;88000
88470;Le Tholy;88;44;883;8801;200096642;CC;4414;88303
88471;Les Thons;88;44;882;8804;200068773;CC;4404;88000
88472;Thuillières;88;44;882;8817;200068682;CC;4407;88000
88473;Tignécourt;88;44;882;8804;200068773;CC;4407;88000
88474;Tilleux;88;44;882;8810;200068559;CC;4404;88000
88475;Tollaincourt;88;44;882;8804;200068773;CC;4407;88000
88476;Totainville;88;44;881;8809;200068369;CC;4407;88000
88477;Trampot;88;44;882;8810;200068559;CC;4404;88000
88478;Tranqueville-Graux;88;44;882;8810;200068559;CC;4412;88000
88479;Trémonzey;88;44;881;8816;200068757;CA;4407;88000
88480;Ubexy;88;44;881;8803;200068757;CA;4407;88000
88481;Uriménil;88;44;881;8816;200068757;CA;4407;88000
88482;Urville;88;44;882;8817;200068682;CC;4407;88000
88483;Uxegney;88;44;881;8808;200068757;CA;4407;88108
88484;Uzemain;88;44;881;8816;200068757;CA;4407;88000
88485;La Vacheresse-et-la-Rouillie;88;44;882;8817;200068682;CC;4407;88000
88486;Vagney;88;44;883;8801;200096634;CC;4414;88303
88487;Le Val-d'Ajol;88;44;881;8816;200068377;CC;4414;88110
88488;Valfroicourt;88;44;882;8817;200068682;CC;4407;88000
88489;Valleroy-aux-Saules;88;44;881;8809;200068369;CC;4407;88000
88490;Valleroy-le-Sec;88;44;882;8817;200068682;CC;4407;88000
88491;Les Vallois;88;44;882;8804;200068773;CC;4407;88000
88492;Le Valtin;88;44;883;8807;200096642;CC;4414;88000
88493;Varmonzey;88;44;881;8803;200068369;CC;4407;88000
88494;Vaubexy;88;44;881;8804;200068369;CC;4407;88000
88495;Vaudéville;88;44;881;8806;200068757;CA;4407;88000
88496;Vaudoncourt;88;44;882;8817;200068682;CC;4407;88000
